California Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
32,"Tuolumne, California",6109.0,66846.0,6109.0,8.1,6109.0,85.4,6109.0,1.7,6109.0,1.7,6109.0,5.3,6109.0,1.4,6109.0,12.9,6109.0,87.1
33,"Madera, California",6039.0,66709.0,6039.0,10.5,6039.0,55.0,6039.0,3.0,6039.0,2.4,6039.0,19.9,6039.0,1.4,6039.0,59.1,6039.0,40.9
34,"Kings, California",6031.0,63267.0,6031.0,9.1,6031.0,56.9,6031.0,6.6,6031.0,4.1,6031.0,19.1,6031.0,1.5,6031.0,55.5,6031.0,44.5
35,"Yuba, California",6115.0,62666.0,6115.0,6.5,6115.0,69.2,6115.0,3.6,6115.0,7.6,6115.0,12.7,6115.0,1.5,6115.0,29.5,6115.0,70.5
36,"Shasta, California",6089.0,61937.0,6089.0,6.5,6089.0,83.3,6089.0,1.1,6089.0,3.4,6089.0,5.6,6089.0,2.3,6089.0,10.7,6089.0,89.3
37,"Colusa, California",6011.0,61861.0,6011.0,5.5,6011.0,68.8,6011.0,1.7,6011.0,1.0,6011.0,26.7,6011.0,1.3,6011.0,60.5,6011.0,39.5
38,"Fresno, California",6019.0,61276.0,6019.0,8.8,6019.0,54.3,6019.0,4.5,6019.0,10.8,6019.0,19.9,6019.0,1.2,6019.0,54.0,6019.0,46.0
39,"Inyo, California",6027.0,60925.0,6027.0,4.3,6027.0,74.0,6027.0,0.5,6027.0,1.7,6027.0,7.0,6027.0,11.2,6027.0,23.7,6027.0,76.3
40,"Butte, California",6007.0,59863.0,6007.0,7.2,6007.0,77.8,6007.0,1.8,6007.0,5.3,6007.0,7.6,6007.0,1.1,6007.0,17.4,6007.0,82.6
41,"Lassen, California",6035.0,59292.0,6035.0,6.9,6035.0,75.7,6035.0,8.6,6035.0,2.3,6035.0,5.4,6035.0,2.6,6035.0,19.7,6035.0,80.3
42,"Merced, California",6047.0,58861.0,6047.0,11.1,6047.0,46.2,6047.0,2.9,6047.0,7.8,6047.0,26.0,6047.0,1.2,6047.0,61.2,6047.0,38.8
43,"Kern, California",6029.0,58824.0,6029.0,8.9,6029.0,62.3,6029.0,5.4,6029.0,5.0,6029.0,19.7,6029.0,1.0,6029.0,54.7,6029.0,45.3
44,"Plumas, California",6063.0,57885.0,6063.0,8.2,6063.0,88.6,6063.0,1.7,6063.0,0.8,6063.0,3.6,6063.0,1.9,6063.0,9.6,6063.0,90.4
45,"Tulare, California",6107.0,57394.0,6107.0,10.2,6107.0,59.3,6107.0,1.7,6107.0,3.8,6107.0,21.7,6107.0,1.2,6107.0,65.8,6107.0,34.2
46,"Mendocino, California",6045.0,56378.0,6045.0,8.5,6045.0,77.3,6045.0,0.7,6045.0,2.3,6045.0,12.3,6045.0,4.0,6045.0,26.3,6045.0,73.7
47,"Glenn, California",6021.0,56332.0,6021.0,7.1,6021.0,75.0,6021.0,0.6,6021.0,3.6,6021.0,16.0,6021.0,2.4,6021.0,42.9,6021.0,57.1
48,"Sierra, California",6091.0,56152.0,6091.0,9.0,6091.0,90.2,6091.0,0.1,6091.0,no data/suppressed,6091.0,3.3,6091.0,1.9,6091.0,11.2,6091.0,88.8
49,"Lake, California",6033.0,53399.0,6033.0,10.1,6033.0,73.0,6033.0,2.4,6033.0,1.7,6033.0,8.9,6033.0,3.4,6033.0,22.2,6033.0,77.8
50,"Humboldt, California",6023.0,53350.0,6023.0,9.4,6023.0,76.3,6023.0,1.3,6023.0,3.5,6023.0,6.1,6023.0,4.3,6023.0,12.3,6023.0,87.7
51,"Mariposa, California",6043.0,53304.0,6043.0,9.7,6043.0,85.8,6043.0,0.9,6043.0,1.4,6043.0,5.6,6043.0,2.7,6043.0,12.4,6043.0,87.6
52,"Del Norte, California",6015.0,53280.0,6015.0,7.5,6015.0,69.4,6015.0,3.0,6015.0,3.1,6015.0,8.2,6015.0,6.8,6015.0,20.5,6015.0,79.5
53,"Tehama, California",6103.0,52901.0,6103.0,8.1,6103.0,80.6,6103.0,0.9,6103.0,1.9,6103.0,8.5,6103.0,1.3,6103.0,26.3,6103.0,73.7
54,"Modoc, California",6049.0,51090.0,6049.0,9.9,6049.0,85.0,6049.0,2.0,6049.0,0.8,6049.0,7.2,6049.0,3.5,6049.0,15.2,6049.0,84.8
55,"Siskiyou, California",6093.0,49857.0,6093.0,7.9,6093.0,81.8,6093.0,1.7,6093.0,1.9,6093.0,5.8,6093.0,3.4,6093.0,13.3,6093.0,86.7
56,"Imperial, California",6025.0,49078.0,6025.0,13.9,6025.0,48.0,6025.0,2.7,6025.0,1.5,6025.0,29.9,6025.0,1.4,6025.0,85.1,6025.0,14.9
57,"Trinity, California",6105.0,42206.0,6105.0,5.8,6105.0,82.4,6105.0,0.6,6105.0,2.3,6105.0,7.8,6105.0,3.2,6105.0,7.5,6105.0,92.5
58,undefined,,,,,,,,,,,,,,,,,,
