Texas Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
28,"Blanco, Texas",48031.0,71201,48031.0,4.3,48031.0,81.1,48031.0,no data/suppressed,48031.0,1.2,48031.0,6.7,48031.0,0.5,48031.0,20.1,48031.0,79.9
29,"Armstrong, Texas",48011.0,71136,48011.0,1.0,48011.0,93.6,48011.0,0.7,48011.0,0.2,48011.0,2.1,48011.0,1.1,48011.0,8.7,48011.0,91.3
30,"Hays, Texas",48209.0,71061,48209.0,5.6,48209.0,76.6,48209.0,4.0,48209.0,1.7,48209.0,9.3,48209.0,0.7,48209.0,40.0,48209.0,60.0
31,"Johnson, Texas",48251.0,70767,48251.0,3.3,48251.0,85.6,48251.0,4.4,48251.0,1.2,48251.0,4.4,48251.0,0.3,48251.0,22.8,48251.0,77.2
32,"Randall, Texas",48381.0,70544,48381.0,3.2,48381.0,83.7,48381.0,3.3,48381.0,2.2,48381.0,5.3,48381.0,0.8,48381.0,23.3,48381.0,76.7
33,"Clay, Texas",48077.0,69967,48077.0,1.8,48077.0,92.8,48077.0,0.4,48077.0,1.0,48077.0,2.8,48077.0,0.9,48077.0,6.9,48077.0,93.1
34,"Martin, Texas",48317.0,69194,48317.0,5.7,48317.0,83.5,48317.0,0.5,48317.0,0.4,48317.0,9.7,48317.0,no data/suppressed,48317.0,46.3,48317.0,53.7
35,"Orange, Texas",48361.0,68756,48361.0,5.4,48361.0,83.7,48361.0,8.7,48361.0,0.9,48361.0,3.1,48361.0,0.2,48361.0,8.5,48361.0,91.5
36,"Borden, Texas",48033.0,68500,48033.0,4.4,48033.0,94.2,48033.0,no data/suppressed,48033.0,no data/suppressed,48033.0,0.7,48033.0,no data/suppressed,48033.0,11.8,48033.0,88.2
37,"Austin, Texas",48015.0,68400,48015.0,5.5,48015.0,75.7,48015.0,8.9,48015.0,0.7,48015.0,10.0,48015.0,0.1,48015.0,27.9,48015.0,72.1
38,"Oldham, Texas",48359.0,68077,48359.0,1.5,48359.0,88.0,48359.0,4.6,48359.0,1.0,48359.0,5.6,48359.0,0.2,48359.0,23.5,48359.0,76.5
39,"Winkler, Texas",48495.0,67904,48495.0,2.2,48495.0,75.6,48495.0,1.9,48495.0,0.8,48495.0,15.5,48495.0,3.7,48495.0,62.2,48495.0,37.8
40,"Crane, Texas",48103.0,67804,48103.0,3.5,48103.0,49.2,48103.0,1.2,48103.0,3.3,48103.0,24.0,48103.0,0.3,48103.0,65.6,48103.0,34.4
41,"Gaines, Texas",48165.0,67728,48165.0,3.3,48165.0,85.0,48165.0,2.2,48165.0,1.0,48165.0,27.0,48165.0,0.7,48165.0,42.4,48165.0,57.6
42,"Medina, Texas",48325.0,67180,48325.0,3.0,48325.0,78.5,48325.0,2.5,48325.0,0.9,48325.0,5.8,48325.0,0.7,48325.0,52.8,48325.0,47.2
43,"Archer, Texas",48009.0,67083,48009.0,3.2,48009.0,92.9,48009.0,0.5,48009.0,0.1,48009.0,3.7,48009.0,1.2,48009.0,8.4,48009.0,91.6
44,"Fayette, Texas",48149.0,66624,48149.0,3.5,48149.0,86.8,48149.0,6.2,48149.0,0.5,48149.0,8.3,48149.0,0.1,48149.0,21.9,48149.0,78.1
45,"Lampasas, Texas",48281.0,66506,48281.0,6.7,48281.0,82.2,48281.0,3.7,48281.0,1.5,48281.0,5.2,48281.0,0.7,48281.0,20.0,48281.0,80.0
46,"Lipscomb, Texas",48295.0,66250,48295.0,5.9,48295.0,75.3,48295.0,1.1,48295.0,1.3,48295.0,14.1,48295.0,0.7,48295.0,33.8,48295.0,66.2
47,"Ward, Texas",48475.0,66216,48475.0,5.7,48475.0,80.6,48475.0,3.7,48475.0,2.5,48475.0,9.3,48475.0,0.2,48475.0,55.2,48475.0,44.8
48,"Washington, Texas",48477.0,65913,48477.0,4.8,48477.0,74.7,48477.0,17.0,48477.0,1.3,48477.0,6.0,48477.0,0.2,48477.0,16.8,48477.0,83.2
49,"Harris, Texas",48201.0,65788,48201.0,6.5,48201.0,52.0,48201.0,18.9,48201.0,7.1,48201.0,26.2,48201.0,0.5,48201.0,43.6,48201.0,56.4
50,"Waller, Texas",48473.0,65379,48473.0,4.6,48473.0,54.3,48473.0,23.7,48473.0,1.4,48473.0,11.8,48473.0,0.5,48473.0,31.1,48473.0,68.9
51,"Burnet, Texas",48053.0,65363,48053.0,3.7,48053.0,85.4,48053.0,1.5,48053.0,0.8,48053.0,8.0,48053.0,0.3,48053.0,22.7,48053.0,77.3
52,"Hardin, Texas",48199.0,65347,48199.0,4.2,48199.0,88.8,48199.0,6.1,48199.0,0.5,48199.0,1.8,48199.0,0.3,48199.0,6.3,48199.0,93.7
53,"Dallas, Texas",48113.0,65011,48113.0,5.2,48113.0,51.8,48113.0,22.5,48113.0,6.6,48113.0,24.5,48113.0,0.5,48113.0,40.7,48113.0,59.3
54,"Ector, Texas",48135.0,64975,48135.0,6.1,48135.0,66.0,48135.0,4.8,48135.0,1.2,48135.0,15.6,48135.0,0.7,48135.0,62.7,48135.0,37.3
55,"Garza, Texas",48169.0,64871,48169.0,6.9,48169.0,72.0,48169.0,7.3,48169.0,2.3,48169.0,26.5,48169.0,0.6,48169.0,49.9,48169.0,50.1
56,"Bandera, Texas",48019.0,64495,48019.0,6.7,48019.0,85.4,48019.0,1.0,48019.0,0.4,48019.0,6.1,48019.0,0.5,48019.0,20.0,48019.0,80.0
57,"Gillespie, Texas",48171.0,64438,48171.0,4.7,48171.0,88.0,48171.0,0.2,48171.0,0.4,48171.0,9.1,48171.0,2.5,48171.0,24.2,48171.0,75.8
58,"Burleson, Texas",48051.0,64109,48051.0,5.5,48051.0,75.6,48051.0,13.2,48051.0,no data/suppressed,48051.0,6.2,48051.0,0.9,48051.0,21.3,48051.0,78.7
59,"Bailey, Texas",48017.0,64044,48017.0,2.3,48017.0,86.7,48017.0,0.2,48017.0,0.7,48017.0,21.9,48017.0,0.9,48017.0,66.5,48017.0,33.5
60,"Kent, Texas",48263.0,63994,48263.0,0.5,48263.0,85.1,48263.0,1.1,48263.0,no data/suppressed,48263.0,0.8,48263.0,no data/suppressed,48263.0,16.6,48263.0,83.4
61,"Atascosa, Texas",48013.0,63391,48013.0,6.3,48013.0,76.4,48013.0,0.4,48013.0,0.5,48013.0,6.8,48013.0,0.2,48013.0,65.3,48013.0,34.7
62,"Caldwell, Texas",48055.0,63380,48055.0,2.4,48055.0,69.7,48055.0,5.2,48055.0,0.9,48055.0,11.7,48055.0,0.6,48055.0,54.1,48055.0,45.9
63,"Cooke, Texas",48097.0,63338,48097.0,3.8,48097.0,86.3,48097.0,2.8,48097.0,0.8,48097.0,7.6,48097.0,0.8,48097.0,18.7,48097.0,81.3
