,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
181,Limestone ,48293.0,49507,4.3,69.2,16.9,1.2,9.5,0.5,22.7,48293.0,77.3,Texas,418.7,659,116822,167.6,266
182,Hockley ,48219.0,49241,5.8,77.9,3.3,0.5,8.4,0.4,49.3,48219.0,50.7,Texas,416.3,529,114930,158,201
183,Brown ,48049.0,49232,5.2,84.1,3.6,0.6,4.1,0.4,23.1,48049.0,76.9,Texas,441.3,1160,189025,167.3,467
184,Tyler ,48457.0,49130,16.2,83.6,10.3,0.6,3.4,0.1,8.3,48457.0,91.7,Texas,416.2,669,107621,148,255
185,Bee ,48025.0,48822,7.3,74.1,7.3,0.2,3.1,0.7,59.5,48025.0,40.5,Texas,420.3,692,163046,162.5,264
186,Brewster ,48043.0,48679,3.4,80.7,0.3,3.9,12.7,0.8,45.5,48043.0,54.5,Texas,329.1,222,46154,110.4,84
187,Leon ,48289.0,48676,6.3,84.8,6.2,1.2,5.5,0.4,15.3,48289.0,84.7,Texas,410.1,579,86627,173.4,258
188,Hale ,48189.0,48649,4.5,74.0,4.3,0.4,10.1,0.2,60.6,48189.0,39.4,Texas,402.3,709,167316,162.3,288
189,Matagorda ,48321.0,48566,6.3,62.5,10.1,2.2,11.1,0.3,43.8,48321.0,56.2,Texas,449.9,1032,183954,189.8,446
190,Haskell ,48207.0,48432,6.8,81.6,5.4,no data/suppressed,4.6,0.3,28.8,48207.0,71.2,Texas,438.4,176,28553,179.3,86
191,Terry ,48445.0,47734,8.0,75.6,2.1,no data/suppressed,8.4,0.1,56.2,48445.0,43.8,Texas,396.7,280,62042,137.4,98
192,Jim Wells ,48249.0,47629,4.3,90.5,0.8,0.5,3.5,0.7,80.5,48249.0,19.5,Texas,408.1,934,203982,160.2,375
193,Hansford ,48195.0,47500,11.3,85.0,0.2,0.1,19.4,0.7,48.6,48195.0,51.4,Texas,400.3,121,27157,163.4,50
194,Throckmorton ,48447.0,47500,5.9,92.4,0.4,no data/suppressed,1.6,no data/suppressed,13.3,48447.0,86.7,Texas,278.5,41,7497,127.4,20
195,Nacogdoches ,48347.0,47306,7.4,69.7,18.4,1.1,7.6,0.9,20.1,48347.0,79.9,Texas,375,1329,325401,158,574
196,Coleman ,48083.0,47216,6.6,82.8,2.6,1.2,6.5,0.8,18.1,48083.0,81.9,Texas,414.1,293,41406,196.8,143
197,Terrell ,48443.0,47012,no data/suppressed,88.5,1.4,no data/suppressed,0.8,no data/suppressed,54.1,48443.0,45.9,Texas,329.6,18,3871,Data not presented,Data not presented
198,San Saba ,48411.0,46927,3.4,81.6,1.8,0.3,6.1,0.1,30.7,48411.0,69.3,Texas,318.1,148,30018,136.6,68
199,Concho ,48095.0,46719,1.3,85.5,2.0,0.5,13.4,0.5,34.6,48095.0,65.4,Texas,297.7,71,15090,119.5,29
200,San Jacinto ,48407.0,46678,7.7,78.2,9.5,0.2,6.9,0.5,14.3,48407.0,85.7,Texas,431.1,936,142868,155.4,347
201,McCulloch ,48307.0,46552,7.7,79.2,1.0,0.9,5.6,0.3,32.9,48307.0,67.1,Texas,467.3,282,39849,194.4,126
202,Stephens ,48429.0,46537,6.5,85.0,3.2,0.9,5.8,no data/suppressed,24.6,48429.0,75.4,Texas,439.9,284,46788,186.8,129
203,Morris ,48343.0,46468,5.7,69.0,22.3,1.5,5.4,0.3,10.7,48343.0,89.3,Texas,494.6,448,61785,194.2,187
204,Trinity ,48455.0,45392,8.4,83.9,8.5,0.1,4.1,0.2,11.1,48455.0,88.9,Texas,451.8,555,73445,205,277
205,Wilbarger ,48487.0,45262,8.7,71.8,7.7,3.2,6.1,1.1,30.3,48487.0,69.7,Texas,443.4,353,63586,162.2,141
206,Potter ,48375.0,45096,3.6,72.1,10.2,5.3,15.6,0.8,39.4,48375.0,60.6,Texas,470,2849,591614,181.5,1086
207,Nolan ,48353.0,44700,8.0,80.8,4.9,0.4,6.5,0.3,39.0,48353.0,61.0,Texas,452.2,432,74507,201.8,201
208,Hidalgo ,48215.0,44666,7.8,64.4,0.6,1.0,26.1,0.2,92.5,48215.0,7.5,Texas,344,13062,4305684,111.8,4204
209,Zavala ,48507.0,44573,3.7,74.7,0.4,0.3,5.4,no data/suppressed,93.9,48507.0,6.1,Texas,353.3,219,59652,162,100
210,Shelby ,48419.0,44504,6.0,73.0,18.6,0.5,8.0,1.4,18.8,48419.0,81.2,Texas,401.5,653,126313,181,302
211,Maverick ,48323.0,44502,7.0,67.3,0.4,0.1,29.5,2.2,95.1,48323.0,4.9,Texas,398.8,1067,290489,143.6,376
212,Jasper ,48241.0,44356,13.7,75.8,15.5,0.4,3.1,0.2,7.1,48241.0,92.9,Texas,479.7,1176,177810,170.4,430
213,Crosby ,48107.0,44304,4.7,77.4,4.1,0.9,5.9,no data/suppressed,56.7,48107.0,43.3,Texas,357.4,130,28766,142.2,56
214,Walker ,48471.0,44104,4.6,68.2,22.9,1.4,7.4,0.2,18.3,48471.0,81.7,Texas,519,2033,361476,139.9,523
215,Real ,48385.0,44083,1.4,95.8,1.4,no data/suppressed,1.9,no data/suppressed,23.1,48385.0,76.9,Texas,327.7,107,17146,172.1,57
216,Hamilton ,48193.0,44030,3.7,91.9,0.3,0.1,4.9,0.2,13.6,48193.0,86.4,Texas,423.8,281,42172,216.4,152
217,Eastland ,48133.0,43953,5.5,88.9,2.2,0.4,4.7,0.5,17.1,48133.0,82.9,Texas,415.6,566,91444,163.6,233
218,Duval ,48131.0,43836,10.3,82.8,1.0,no data/suppressed,2.9,0.4,89.3,48131.0,10.7,Texas,352.3,239,55971,171.3,125
219,Baylor ,48023.0,43705,3.5,85.4,4.1,1.0,2.8,0.2,14.2,48023.0,85.8,Texas,466.4,138,17798,254.2,80
220,Cottle ,48101.0,43654,3.8,73.3,7.1,no data/suppressed,no data/suppressed,0.1,20.6,48101.0,79.4,Texas,390.8,42,6894,155.8,19
221,Houston ,48225.0,43644,4.5,67.6,24.9,0.3,3.0,0.3,11.9,48225.0,88.1,Texas,421.8,734,114710,159.2,296
222,Marion ,48315.0,43153,11.7,72.2,22.5,0.7,2.0,0.2,4.5,48315.0,95.5,Texas,484.9,406,49933,148,133
223,San Augustine ,48405.0,43130,11.4,71.7,22.4,0.1,4.5,0.5,7.6,48405.0,92.4,Texas,403.1,292,41301,163,127
224,Cameron ,48061.0,43057,6.0,73.7,0.6,0.7,22.8,0.2,90.0,48061.0,10.0,Texas,357,7638,2110675,117.3,2544
225,Dawson ,48115.0,42778,8.2,63.5,8.4,0.2,4.6,0.8,58.6,48115.0,41.4,Texas,431.1,302,64244,163.7,119
226,Kenedy ,48261.0,42778,no data/suppressed,84.6,no data/suppressed,0.6,25.4,0.6,98.2,48261.0,1.8,Texas,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
227,Coke ,48081.0,42639,2.8,87.8,1.0,no data/suppressed,4.8,0.2,22.6,48081.0,77.4,Texas,490.6,135,16489,203.2,67
228,Collingsworth ,48087.0,42446,4.6,69.7,9.3,0.8,9.3,1.8,31.5,48087.0,68.5,Texas,297.8,61,14693,125.4,24
229,Dickens ,48125.0,42241,8.9,83.7,2.1,0.8,8.3,0.3,33.8,48125.0,66.2,Texas,455.2,68,10908,188.1,31
230,King ,48269.0,42125,4.9,88.6,no data/suppressed,no data/suppressed,14.8,no data/suppressed,34.9,48269.0,65.1,Texas,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
231,Hall ,48191.0,41467,9.7,71.3,5.7,0.2,11.6,0.6,34.5,48191.0,65.5,Texas,350.7,86,15124,117.5,32
232,Sabine ,48403.0,41308,10.2,88.2,5.5,1.5,1.6,0.5,4.8,48403.0,95.2,Texas,427.9,426,52349,171,184
233,Red River ,48387.0,40674,4.3,78.4,14.7,0.6,3.1,1.8,7.6,48387.0,92.4,Texas,439.9,443,60573,169.1,183
234,Menard ,48327.0,40341,8.6,78.7,0.1,no data/suppressed,5.1,1.7,35.5,48327.0,64.5,Texas,380.3,81,10538,151.4,35
235,Edwards ,48137.0,40000,no data/suppressed,98.8,0.1,no data/suppressed,9.1,0.1,45.3,48137.0,54.7,Texas,340.7,51,9587,187.9,29
236,Irion ,48235.0,39770,6.9,69.9,5.5,no data/suppressed,3.6,no data/suppressed,26.4,48235.0,73.6,Texas,413.2,48,7768,150.3,18
237,Swisher ,48437.0,39685,6.2,79.9,8.1,0.8,13.1,1.3,45.2,48437.0,54.8,Texas,394.3,182,37016,168.3,85
238,Willacy ,48489.0,39401,7.9,79.5,0.6,no data/suppressed,13.2,0.6,88.2,48489.0,11.8,Texas,346.7,385,107093,129.3,146
239,Jeff Davis ,48243.0,38659,no data/suppressed,90.9,1.8,no data/suppressed,12.7,no data/suppressed,23.9,48243.0,76.1,Texas,174.4,47,11224,89.3,23
240,Briscoe ,48045.0,38469,1.8,85.0,2.4,0.9,7.3,no data/suppressed,36.4,48045.0,63.6,Texas,411.9,52,7536,150.9,23
241,Cochran ,48079.0,38203,8.4,65.5,6.1,0.1,16.3,0.3,59.7,48079.0,40.3,Texas,351.1,63,14298,131.7,24
242,Newton ,48351.0,38116,10.4,74.2,20.5,0.7,0.8,0.5,4.1,48351.0,95.9,Texas,424.3,428,68942,166.4,169
243,Foard ,48155.0,37679,10.1,74.8,0.1,0.8,3.6,0.7,21.6,48155.0,78.4,Texas,541.5,45,5867,189,17
244,Jim Hogg ,48247.0,37342,4.3,82.9,0.3,no data/suppressed,2.6,no data/suppressed,93.3,48247.0,6.7,Texas,329.4,97,25936,186.9,55
245,Falls ,48145.0,35317,8.1,65.4,22.6,1.7,4.9,0.4,24.3,48145.0,75.7,Texas,413.8,481,86403,171.5,204
246,Zapata ,48505.0,34406,8.3,68.4,no data/suppressed,1.4,21.1,no data/suppressed,94.8,48505.0,5.2,Texas,357.9,245,71215,109.5,74
247,Culberson ,48109.0,34239,12.5,71.9,0.1,0.9,14.2,4.1,82.9,48109.0,17.1,Texas,287,40,10914,Data not presented,Data not presented
248,Starr ,48427.0,33334,12.1,70.7,0.1,no data/suppressed,26.6,0.1,96.3,48427.0,3.7,Texas,392.9,1119,320161,133.6,380
249,Hudspeth ,48229.0,32404,7.5,46.7,1.4,0.8,42.6,1.0,77.7,48229.0,22.3,Texas,300.9,75,23437,112.1,28
250,Brooks ,48047.0,26827,1.7,68.5,1.8,0.1,10.6,no data/suppressed,91.6,48047.0,8.4,Texas,355.3,150,35499,150.7,70
251,Presidio ,48377.0,26395,7.8,69.6,no data/suppressed,1.4,43.0,1.9,80.0,48377.0,20.0,Texas,262.2,124,34041,74.7,40
252,Dimmit ,48127.0,25000,5.9,60.4,0.2,1.6,10.2,0.2,87.8,48127.0,12.2,Texas,348.8,198,51162,128.9,78
253,Loving ,48301.0,no data/suppressed,no data/suppressed,98.8,no data/suppressed,1.2,1.2,no data/suppressed,no data/suppressed,48301.0,100.0,Texas,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
254,undefined,,,,,,,,,,,,,,,,,
