,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
41,Gaines ,48165.0,67728,3.3,85.0,2.2,1.0,27.0,0.7,42.4,48165.0,57.6,Texas,337.4,281,105387,154.1,117
42,Medina ,48325.0,67180,3.0,78.5,2.5,0.9,5.8,0.7,52.8,48325.0,47.2,Texas,387.3,1236,254343,136.7,439
43,Archer ,48009.0,67083,3.2,92.9,0.5,0.1,3.7,1.2,8.4,48009.0,91.6,Texas,406.2,261,43768,139.2,95
44,Fayette ,48149.0,66624,3.5,86.8,6.2,0.5,8.3,0.1,21.9,48149.0,78.1,Texas,383.6,798,126236,122.9,290
45,Lampasas ,48281.0,66506,6.7,82.2,3.7,1.5,5.2,0.7,20.0,48281.0,80.0,Texas,486.6,722,105761,173.6,265
46,Lipscomb ,48295.0,66250,5.9,75.3,1.1,1.3,14.1,0.7,33.8,48295.0,66.2,Texas,379.8,75,16503,119.8,26
47,Ward ,48475.0,66216,5.7,80.6,3.7,2.5,9.3,0.2,55.2,48475.0,44.8,Texas,389.8,239,58723,146.8,91
48,Washington ,48477.0,65913,4.8,74.7,17.0,1.3,6.0,0.2,16.8,48477.0,83.2,Texas,405.1,1050,176374,138.3,391
49,Harris ,48201.0,65788,6.5,52.0,18.9,7.1,26.2,0.5,43.6,48201.0,56.4,Texas,393.9,84936,23403043,139.4,28052
50,Waller ,48473.0,65379,4.6,54.3,23.7,1.4,11.8,0.5,31.1,48473.0,68.9,Texas,435.5,1110,268129,153.6,382
51,Burnet ,48053.0,65363,3.7,85.4,1.5,0.8,8.0,0.3,22.7,48053.0,77.3,Texas,437.8,1555,237738,148.5,558
52,Hardin ,48199.0,65347,4.2,88.8,6.1,0.5,1.8,0.3,6.3,48199.0,93.7,Texas,450.2,1604,286780,164.9,598
53,Dallas ,48113.0,65011,5.2,51.8,22.5,6.6,24.5,0.5,40.7,48113.0,59.3,Texas,417.1,51162,13113168,146.3,16934
54,Ector ,48135.0,64975,6.1,66.0,4.8,1.2,15.6,0.7,62.7,48135.0,37.3,Texas,434.6,2997,810335,173.4,1130
55,Garza ,48169.0,64871,6.9,72.0,7.3,2.3,26.5,0.6,49.9,48169.0,50.1,Texas,343,104,31364,144.1,44
56,Bandera ,48019.0,64495,6.7,85.4,1.0,0.4,6.1,0.5,20.0,48019.0,80.0,Texas,365.8,748,113848,144.3,309
57,Gillespie ,48171.0,64438,4.7,88.0,0.2,0.4,9.1,2.5,24.2,48171.0,75.8,Texas,437.5,1032,133338,131.5,367
58,Burleson ,48051.0,64109,5.5,75.6,13.2,no data/suppressed,6.2,0.9,21.3,48051.0,78.7,Texas,442.7,597,91185,157.7,227
59,Bailey ,48017.0,64044,2.3,86.7,0.2,0.7,21.9,0.9,66.5,48017.0,33.5,Texas,357.3,135,34582,138.2,52
60,Kent ,48263.0,63994,0.5,85.1,1.1,no data/suppressed,0.8,no data/suppressed,16.6,48263.0,83.4,Texas,350.9,23,3774,Data not presented,Data not presented
61,Atascosa ,48013.0,63391,6.3,76.4,0.4,0.5,6.8,0.2,65.3,48013.0,34.7,Texas,379.3,1067,250972,140.8,397
62,Caldwell ,48055.0,63380,2.4,69.7,5.2,0.9,11.7,0.6,54.1,48055.0,45.9,Texas,409.9,1002,214084,166.3,401
63,Cooke ,48097.0,63338,3.8,86.3,2.8,0.8,7.6,0.8,18.7,48097.0,81.3,Texas,482.3,1294,202138,163.9,455
64,McMullen ,48311.0,63056,3.4,83.3,no data/suppressed,no data/suppressed,5.6,0.7,64.3,48311.0,35.7,Texas,311.9,23,3757,Data not presented,Data not presented
65,Parmer ,48369.0,62885,2.2,78.1,1.0,0.2,24.1,0.5,64.7,48369.0,35.3,Texas,338.7,177,48195,131.9,69
66,Llano ,48299.0,62839,4.2,90.2,0.6,0.4,4.2,0.9,11.3,48299.0,88.7,Texas,376.7,836,107258,147.5,364
67,Reagan ,48383.0,62829,6.4,50.9,2.5,1.8,14.3,no data/suppressed,69.4,48383.0,30.6,Texas,395.6,68,18830,138.6,23
68,Roberts ,48393.0,62717,no data/suppressed,95.9,no data/suppressed,no data/suppressed,1.7,0.3,13.8,48393.0,86.2,Texas,306.1,21,4386,Data not presented,Data not presented
69,Smith ,48423.0,62518,4.9,74.2,17.0,1.8,9.3,0.4,20.1,48423.0,79.9,Texas,464,6473,1150922,145.9,2086
70,Stonewall ,48433.0,62273,2.1,92.0,1.0,no data/suppressed,1.3,2.7,25.3,48433.0,74.7,Texas,560.2,57,6807,190.5,21
71,Kerr ,48265.0,62204,3.7,80.4,1.4,0.8,6.8,0.4,27.9,48265.0,72.1,Texas,423,1875,260975,151,761
72,Bexar ,48029.0,62169,5.6,64.0,7.6,3.1,13.1,0.7,60.9,48029.0,39.1,Texas,389.6,37922,9894132,142,13428
73,Grayson ,48181.0,62078,3.9,82.4,5.6,1.6,6.6,0.7,14.2,48181.0,85.8,Texas,457,3973,667635,173,1539
74,Tom Green ,48451.0,62052,3.7,77.0,4.0,1.5,5.4,0.5,41.2,48451.0,58.8,Texas,451.2,3042,593225,155.7,1082
75,Calhoun ,48057.0,61887,4.1,74.8,2.6,4.5,12.6,0.3,49.8,48057.0,50.2,Texas,409.4,564,107348,166.6,240
76,Sutton ,48435.0,61538,4.1,53.6,0.1,0.1,13.1,0.7,70.2,48435.0,29.8,Texas,414.4,102,18964,153.7,41
77,Franklin ,48159.0,61391,6.6,83.3,4.8,no data/suppressed,6.8,0.1,15.3,48159.0,84.7,Texas,485.7,375,53833,177.6,139
78,Hartley ,48205.0,61196,0.8,80.6,7.8,0.5,8.4,0.4,27.6,48205.0,72.4,Texas,319.5,104,27940,130.9,42
79,Van Zandt ,48467.0,61121,3.7,91.6,2.9,0.4,3.5,0.7,11.8,48467.0,88.2,Texas,467,1869,279850,172.3,707
80,Schleicher ,48413.0,61094,16.4,62.8,1.2,0.5,8.0,no data/suppressed,54.3,48413.0,45.7,Texas,415.6,78,14489,154.6,30
81,Dallam ,48111.0,61069,2.5,79.1,no data/suppressed,no data/suppressed,28.2,0.5,47.1,48111.0,52.9,Texas,378.5,125,36359,141.3,46
82,Hunt ,48231.0,61053,5.4,77.7,7.4,1.2,6.9,0.8,17.9,48231.0,82.1,Texas,439.6,2600,481011,175.1,1041
83,La Salle ,48283.0,61042,1.5,65.2,2.1,0.1,5.8,no data/suppressed,84.8,48283.0,15.2,Texas,343.3,128,37690,160.2,60
84,Jackson ,48239.0,60807,4.3,81.2,7.5,0.7,6.9,0.1,33.7,48239.0,66.3,Texas,438.7,415,74109,175.4,176
85,Lee ,48287.0,60750,2.8,79.6,11.1,1.2,9.1,0.1,24.4,48287.0,75.6,Texas,455.8,535,85870,180.8,217
86,Victoria ,48469.0,60598,4.6,75.3,5.8,1.3,6.5,0.6,48.0,48469.0,52.0,Texas,449.8,2411,460220,156.3,853
87,Rusk ,48401.0,60330,6.1,73.1,16.4,0.6,7.1,0.1,17.6,48401.0,82.4,Texas,435,1481,269940,166.7,566
88,Howard ,48227.0,60260,5.4,76.8,5.5,0.9,10.5,0.8,44.0,48227.0,56.0,Texas,394.9,772,181065,150.4,290
89,Madison ,48313.0,59923,7.3,71.3,16.1,1.3,10.4,0.3,24.1,48313.0,75.9,Texas,390.7,321,71645,172.1,143
90,Palo Pinto ,48363.0,59796,6.9,87.9,2.5,1.0,5.9,1.1,20.3,48363.0,79.7,Texas,475.2,941,143962,172.8,362
91,Fannin ,48147.0,59686,4.8,86.2,5.9,0.5,4.7,0.7,12.1,48147.0,87.9,Texas,473.7,1118,175232,169,419
92,San Patricio ,48409.0,59532,4.3,80.9,2.0,1.2,4.8,0.1,58.5,48409.0,41.5,Texas,440.9,1657,334847,171,642
93,Nueces ,48355.0,59477,6.0,72.3,3.6,2.2,8.9,0.3,64.6,48355.0,35.4,Texas,380.9,7705,1810753,138.2,2815
94,Bosque ,48035.0,59328,3.8,87.2,1.8,0.7,6.4,0.4,19.3,48035.0,80.7,Texas,430.2,644,92139,184.3,293
95,Motley ,48345.0,59286,3.6,85.8,1.2,no data/suppressed,0.6,no data/suppressed,13.4,48345.0,86.6,Texas,390.3,45,6014,208.6,22
