,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Unnamed: 0,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count
35,Yuba ,6115.0,62666.0,6.5,69.2,3.6,7.6,12.7,1.5,29.5,6115.0,70.5,16.0,California,461.1,1801.0,387622.0,184.9,704.0
36,Shasta ,6089.0,61937.0,6.5,83.3,1.1,3.4,5.6,2.3,10.7,6089.0,89.3,31.0,California,475.0,6087.0,896333.0,166.0,2225.0
37,Colusa ,6011.0,61861.0,5.5,68.8,1.7,1.0,26.7,1.3,60.5,6011.0,39.5,5.0,California,394.8,469.0,107455.0,132.5,159.0
38,Fresno ,6019.0,61276.0,8.8,54.3,4.5,10.8,19.9,1.2,54.0,6019.0,46.0,46.0,California,389.1,18774.0,4951020.0,139.5,6682.0
39,Inyo ,6027.0,60925.0,4.3,74.0,0.5,1.7,7.0,11.2,23.7,6027.0,76.3,6.0,California,388.3,546.0,89649.0,146.2,217.0
40,Butte ,6007.0,59863.0,7.2,77.8,1.8,5.3,7.6,1.1,17.4,6007.0,82.6,32.0,California,474.9,6733.0,1116722.0,166.7,2467.0
41,Lassen ,6035.0,59292.0,6.9,75.7,8.6,2.3,5.4,2.6,19.7,6035.0,80.3,7.0,California,346.6,608.0,153002.0,145.1,246.0
42,Merced ,6047.0,58861.0,11.1,46.2,2.9,7.8,26.0,1.2,61.2,6047.0,38.8,29.0,California,379.8,4801.0,1368306.0,154.3,1883.0
43,Kern ,6029.0,58824.0,8.9,62.3,5.4,5.0,19.7,1.0,54.7,6029.0,45.3,44.0,California,405.0,16609.0,4462288.0,148.8,5852.0
44,Plumas ,6063.0,57885.0,8.2,88.6,1.7,0.8,3.6,1.9,9.6,6063.0,90.4,10.0,California,372.2,639.0,94220.0,149.1,266.0
45,Tulare ,6107.0,57394.0,10.2,59.3,1.7,3.8,21.7,1.2,65.8,6107.0,34.2,34.0,California,365.0,7831.0,2319773.0,142.8,2991.0
46,Mendocino ,6045.0,56378.0,8.5,77.3,0.7,2.3,12.3,4.0,26.3,6045.0,73.7,22.0,California,431.6,2749.0,435551.0,147.4,982.0
47,Glenn ,6021.0,56332.0,7.1,75.0,0.6,3.6,16.0,2.4,42.9,6021.0,57.1,11.0,California,509.8,851.0,140299.0,155.3,266.0
48,Sierra ,6091.0,56152.0,9.0,90.2,0.1,no data/suppressed,3.3,1.9,11.2,6091.0,88.8,1.0,California,307.7,88.0,14804.0,98.1,31.0
49,Lake ,6033.0,53399.0,10.1,73.0,2.4,1.7,8.9,3.4,22.2,6033.0,77.8,19.0,California,445.9,2199.0,321380.0,179.9,926.0
50,Humboldt ,6023.0,53350.0,9.4,76.3,1.3,3.5,6.1,4.3,12.3,6023.0,87.7,26.0,California,435.7,3775.0,680505.0,168.3,1487.0
51,Mariposa ,6043.0,53304.0,9.7,85.8,0.9,1.4,5.6,2.7,12.4,6043.0,87.6,8.0,California,385.1,612.0,86597.0,145.2,230.0
52,Del Norte ,6015.0,53280.0,7.5,69.4,3.0,3.1,8.2,6.8,20.5,6015.0,79.5,9.0,California,340.6,635.0,138462.0,170.7,320.0
53,Tehama ,6103.0,52901.0,8.1,80.6,0.9,1.9,8.5,1.3,26.3,6103.0,73.7,18.0,California,465.3,2065.0,320879.0,162.5,753.0
54,Modoc ,6049.0,51090.0,9.9,85.0,2.0,0.8,7.2,3.5,15.2,6049.0,84.8,2.0,California,310.5,220.0,44266.0,121.6,99.0
55,Siskiyou ,6093.0,49857.0,7.9,81.8,1.7,1.9,5.8,3.4,13.3,6093.0,86.7,13.0,California,352.3,1277.0,217581.0,170.5,643.0
56,Imperial ,6025.0,49078.0,13.9,48.0,2.7,1.5,29.9,1.4,85.1,6025.0,14.9,24.0,California,367.6,3338.0,902899.0,122.4,1117.0
57,Trinity ,6105.0,42206.0,5.8,82.4,0.6,2.3,7.8,3.2,7.5,6105.0,92.5,4.0,California,378.7,426.0,62705.0,116.3,142.0
58,undefined,,,,,,,,,,,,,,,,,,
