,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
37,Polk ,12105.0,55099.0,4.9,68.5,15.0,1.8,10.4,0.3,24.9,12105.0,75.1,Florida,473.1,22953.0,3528675.0,146.0,7425.0
38,Gulf ,12045.0,53812.0,4.1,80.4,14.7,0.5,3.9,0.4,3.8,12045.0,96.2,Florida,439.9,527.0,75366.0,162.0,199.0
39,Alachua ,12001.0,53314.0,4.8,65.7,19.9,6.0,10.7,0.3,10.5,12001.0,89.5,Florida,455.2,6415.0,1340525.0,158.1,2260.0
40,Hernando ,12053.0,53301.0,6.3,83.4,5.2,1.3,7.2,0.3,14.9,12053.0,85.1,Florida,539.6,8831.0,953500.0,168.4,3055.0
41,Jefferson ,12065.0,53080.0,6.2,63.0,33.0,0.4,3.0,0.2,4.4,12065.0,95.6,Florida,393.6,452.0,71392.0,161.4,189.0
42,Franklin ,12037.0,52679.0,9.5,79.3,12.8,0.3,3.8,0.1,5.9,12037.0,94.1,Florida,430.6,409.0,59572.0,172.6,170.0
43,Gilchrist ,12041.0,50983.0,3.9,89.1,4.9,0.3,4.9,0.2,6.3,12041.0,93.7,Florida,475.6,593.0,91226.0,173.0,236.0
44,Marion ,12083.0,50808.0,6.9,77.6,12.6,1.6,7.8,0.3,14.3,12083.0,85.7,Florida,520.8,16364.0,1801051.0,163.6,5593.0
45,Bradford ,12007.0,48803.0,5.0,75.7,19.3,0.8,2.6,0.3,4.6,12007.0,95.4,Florida,467.7,849.0,138614.0,177.3,336.0
46,Citrus ,12017.0,48664.0,7.7,90.9,2.5,1.7,5.8,0.2,6.2,12017.0,93.8,Florida,524.9,8059.0,739690.0,172.2,2908.0
47,Columbia ,12023.0,47750.0,8.2,73.7,17.7,1.0,3.9,0.1,6.6,12023.0,93.4,Florida,490.1,2349.0,354490.0,194.9,963.0
48,Suwannee ,12121.0,47218.0,5.3,79.2,11.7,0.4,4.9,no data/suppressed,10.0,12121.0,90.0,Florida,460.1,1515.0,221451.0,186.7,645.0
49,Okeechobee ,12093.0,47020.0,5.0,79.0,8.6,1.0,12.4,0.4,26.4,12093.0,73.6,Florida,445.2,1290.0,208054.0,183.3,552.0
50,Highlands ,12055.0,46895.0,7.4,77.8,9.0,1.6,11.2,0.5,21.1,12055.0,78.9,Florida,471.9,4843.0,522868.0,143.7,1690.0
51,Dixie ,12029.0,44287.0,4.9,85.6,7.6,0.3,2.1,0.1,4.3,12029.0,95.7,Florida,483.0,647.0,83700.0,184.9,259.0
52,Taylor ,12123.0,43563.0,6.2,72.9,22.5,0.5,4.3,0.1,4.3,12123.0,95.7,Florida,450.5,679.0,108544.0,174.9,278.0
53,Jackson ,12063.0,43416.0,5.1,67.4,26.9,0.4,2.4,0.4,5.1,12063.0,94.9,Florida,327.2,1075.0,237044.0,191.2,667.0
54,Levy ,12075.0,43029.0,5.2,85.1,8.4,0.9,4.4,0.2,8.9,12075.0,91.1,Florida,501.1,1657.0,204897.0,196.1,675.0
55,Gadsden ,12039.0,42661.0,4.0,37.2,55.3,0.3,5.1,1.0,10.7,12039.0,89.3,Florida,454.7,1401.0,228933.0,158.3,495.0
56,Liberty ,12077.0,42438.0,7.7,78.1,14.9,0.1,2.8,1.7,6.7,12077.0,93.3,Florida,451.6,222.0,41667.0,179.7,86.0
57,Holmes ,12059.0,41809.0,4.8,87.4,7.1,1.0,2.1,1.0,3.1,12059.0,96.9,Florida,267.2,365.0,97651.0,175.9,254.0
58,Washington ,12133.0,41806.0,5.6,78.8,14.9,0.8,3.9,1.2,3.9,12133.0,96.1,Florida,373.2,623.0,125470.0,200.9,339.0
59,Hardee ,12049.0,41395.0,6.6,73.6,5.8,1.2,10.6,0.2,44.3,12049.0,55.7,Florida,453.0,716.0,135134.0,138.9,227.0
60,Putnam ,12107.0,39975.0,9.0,76.4,16.0,0.6,4.4,0.4,10.3,12107.0,89.7,Florida,487.2,2793.0,368920.0,192.4,1159.0
61,DeSoto ,12027.0,39945.0,9.4,78.5,12.5,0.1,13.3,0.2,31.9,12027.0,68.1,Florida,414.4,1120.0,186856.0,155.7,454.0
62,Madison ,12079.0,39503.0,3.9,56.7,36.8,0.7,4.6,0.1,6.2,12079.0,93.8,Florida,361.1,489.0,92783.0,169.3,237.0
63,Hamilton ,12047.0,39346.0,11.3,59.7,34.3,0.6,4.3,0.8,10.2,12047.0,89.8,Florida,405.9,382.0,71986.0,202.9,191.0
64,Hendry ,12051.0,38843.0,6.1,67.7,10.8,1.0,26.4,1.9,55.1,12051.0,44.9,Florida,385.9,860.0,207359.0,137.7,305.0
65,Calhoun ,12013.0,38098.0,3.4,77.7,12.1,0.5,3.4,1.2,6.0,12013.0,94.0,Florida,434.4,429.0,71620.0,185.0,190.0
66,Glades ,12043.0,38088.0,9.1,74.4,14.0,0.6,9.9,4.0,21.7,12043.0,78.3,Florida,355.8,426.0,68886.0,124.3,159.0
67,undefined,,,,,,,,,,,,,,,,,
