,County,Alaska Boroughs_x,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count,Vermont Counties FIPS,Wyoming Counties FIPS,Uninsured,Unnamed: 0.1,FIPS,County FIPS
11,San Benito ,,95606.0,7.1,62.7,1.0,3.3,20.0,1.3,60.9,39.1,California,378.0,1221.0,307733.0,120.3,378.0,,,,11.0,6069.0,6069.0
12,Ventura ,,94150.0,5.6,70.1,1.8,7.5,21.1,1.1,43.3,56.7,California,422.0,21354.0,4227997.0,130.7,6687.0,,,,12.0,6111.0,6111.0
13,Sonoma ,,91607.0,5.1,70.4,1.6,4.7,16.3,1.1,27.6,72.5,California,424.2,14646.0,2484006.0,137.5,4888.0,,,,13.0,6097.0,6097.0
14,Solano ,,89648.0,6.0,48.5,13.4,16.6,19.7,0.7,27.5,72.5,California,415.6,11138.0,2222688.0,158.1,4204.0,,,,14.0,6095.0,6095.0
15,El Dorado ,,88770.0,4.7,84.7,0.9,5.1,9.3,0.6,13.3,86.7,California,416.4,5934.0,951727.0,127.5,1857.0,,,,15.0,6017.0,6017.0
16,San Diego ,,88240.0,6.6,62.0,4.9,12.4,22.7,0.8,34.3,65.7,California,418.5,76705.0,16619850.0,137.2,25202.0,,,,16.0,6073.0,6073.0
17,Santa Barbara ,,84356.0,6.1,65.9,1.9,5.6,22.4,1.2,46.4,53.6,California,436.3,10931.0,2224477.0,130.0,3434.0,,,,17.0,6083.0,6083.0
18,San Luis Obispo ,,82514.0,5.1,79.9,1.5,3.7,9.7,0.8,23.2,76.8,California,445.2,8734.0,1412584.0,134.1,2741.0,,,,18.0,6079.0,6079.0
19,Monterey ,,82013.0,5.5,43.3,2.5,6.3,29.0,0.7,59.7,40.3,California,379.2,8652.0,2164884.0,121.6,2793.0,,,,19.0,6053.0,6053.0
20,Yolo ,,78386.0,5.6,63.3,2.6,15.0,22.3,0.7,32.1,67.9,California,397.9,4232.0,1093868.0,137.3,1445.0,,,,20.0,6113.0,6113.0
21,Sacramento ,,76422.0,6.6,52.1,9.7,18.0,21.0,0.7,23.8,76.2,California,412.2,35109.0,7689741.0,150.7,12763.0,,,,21.0,6067.0,6067.0
22,Los Angeles ,,76367.0,7.0,43.7,7.9,15.0,33.5,1.0,48.7,51.3,California,367.6,202284.0,50203411.0,133.3,73078.0,,,,22.0,6037.0,6037.0
23,Riverside ,,76066.0,7.2,51.2,6.5,7.1,21.5,0.8,50.3,49.7,California,389.5,52737.0,12189318.0,138.2,18833.0,,,,23.0,6065.0,6065.0
24,San Joaquin ,,74962.0,7.3,46.5,7.0,17.1,23.3,0.8,42.3,57.7,California,405.5,15660.0,3758076.0,150.8,5706.0,,,,24.0,6077.0,6077.0
25,Nevada ,,74617.0,4.2,90.5,0.4,1.3,6.1,0.5,9.8,90.2,California,402.2,3470.0,497086.0,135.4,1237.0,,,,25.0,6057.0,6057.0
26,Mono ,,71138.0,2.4,80.3,0.1,4.6,16.8,1.7,27.3,72.7,California,250.9,235.0,71973.0,57.1,55.0,,,,26.0,6051.0,6051.0
27,San Bernardino ,,70287.0,7.5,50.7,8.0,7.8,20.7,1.1,54.6,45.4,California,393.9,41625.0,10812662.0,150.7,15150.0,,,,27.0,6071.0,6071.0
28,Calaveras ,,70119.0,6.8,84.6,1.0,2.3,4.8,1.2,13.1,86.9,California,398.7,1636.0,229139.0,141.9,617.0,,,,28.0,6009.0,6009.0
29,Amador ,,69955.0,6.8,81.8,2.5,1.2,6.3,0.9,14.9,85.1,California,434.9,1516.0,195117.0,143.5,533.0,,,,29.0,6005.0,6005.0
30,Stanislaus ,,68368.0,8.4,64.8,3.0,6.4,20.1,1.1,47.9,52.1,California,422.2,11950.0,2731177.0,158.8,4441.0,,,,30.0,6099.0,6099.0
31,Sutter ,,67003.0,7.6,58.5,1.9,17.0,21.8,1.4,31.9,68.1,California,416.8,2337.0,481573.0,152.5,881.0,,,,31.0,6101.0,6101.0
32,Tuolumne ,,66846.0,8.1,85.4,1.7,1.7,5.3,1.4,12.9,87.1,California,412.0,1918.0,270737.0,150.4,740.0,,,,32.0,6109.0,6109.0
33,Madera ,,66709.0,10.5,55.0,3.0,2.4,19.9,1.4,59.1,40.9,California,387.2,3225.0,779624.0,145.2,1188.0,,,,33.0,6039.0,6039.0
34,Kings ,,63267.0,9.1,56.9,6.6,4.1,19.1,1.5,55.5,44.5,California,364.4,2438.0,755451.0,144.4,921.0,,,,34.0,6031.0,6031.0
35,Yuba ,,62666.0,6.5,69.2,3.6,7.6,12.7,1.5,29.5,70.5,California,461.1,1801.0,387622.0,184.9,704.0,,,,35.0,6115.0,6115.0
36,Shasta ,,61937.0,6.5,83.3,1.1,3.4,5.6,2.3,10.7,89.3,California,475.0,6087.0,896333.0,166.0,2225.0,,,,36.0,6089.0,6089.0
37,Colusa ,,61861.0,5.5,68.8,1.7,1.0,26.7,1.3,60.5,39.5,California,394.8,469.0,107455.0,132.5,159.0,,,,37.0,6011.0,6011.0
38,Fresno ,,61276.0,8.8,54.3,4.5,10.8,19.9,1.2,54.0,46.0,California,389.1,18774.0,4951020.0,139.5,6682.0,,,,38.0,6019.0,6019.0
39,Inyo ,,60925.0,4.3,74.0,0.5,1.7,7.0,11.2,23.7,76.3,California,388.3,546.0,89649.0,146.2,217.0,,,,39.0,6027.0,6027.0
40,Butte ,,59863.0,7.2,77.8,1.8,5.3,7.6,1.1,17.4,82.6,California,474.9,6733.0,1116722.0,166.7,2467.0,,,,40.0,6007.0,6007.0
41,Lassen ,,59292.0,6.9,75.7,8.6,2.3,5.4,2.6,19.7,80.3,California,346.6,608.0,153002.0,145.1,246.0,,,,41.0,6035.0,6035.0
42,Merced ,,58861.0,11.1,46.2,2.9,7.8,26.0,1.2,61.2,38.8,California,379.8,4801.0,1368306.0,154.3,1883.0,,,,42.0,6047.0,6047.0
43,Kern ,,58824.0,8.9,62.3,5.4,5.0,19.7,1.0,54.7,45.3,California,405.0,16609.0,4462288.0,148.8,5852.0,,,,43.0,6029.0,6029.0
44,Plumas ,,57885.0,8.2,88.6,1.7,0.8,3.6,1.9,9.6,90.4,California,372.2,639.0,94220.0,149.1,266.0,,,,44.0,6063.0,6063.0
45,Tulare ,,57394.0,10.2,59.3,1.7,3.8,21.7,1.2,65.8,34.2,California,365.0,7831.0,2319773.0,142.8,2991.0,,,,45.0,6107.0,6107.0
46,Mendocino ,,56378.0,8.5,77.3,0.7,2.3,12.3,4.0,26.3,73.7,California,431.6,2749.0,435551.0,147.4,982.0,,,,46.0,6045.0,6045.0
47,Glenn ,,56332.0,7.1,75.0,0.6,3.6,16.0,2.4,42.9,57.1,California,509.8,851.0,140299.0,155.3,266.0,,,,47.0,6021.0,6021.0
48,Sierra ,,56152.0,9.0,90.2,0.1,no data/suppressed,3.3,1.9,11.2,88.8,California,307.7,88.0,14804.0,98.1,31.0,,,,48.0,6091.0,6091.0
49,Lake ,,53399.0,10.1,73.0,2.4,1.7,8.9,3.4,22.2,77.8,California,445.9,2199.0,321380.0,179.9,926.0,,,,49.0,6033.0,6033.0
50,Humboldt ,,53350.0,9.4,76.3,1.3,3.5,6.1,4.3,12.3,87.7,California,435.7,3775.0,680505.0,168.3,1487.0,,,,50.0,6023.0,6023.0
51,Mariposa ,,53304.0,9.7,85.8,0.9,1.4,5.6,2.7,12.4,87.6,California,385.1,612.0,86597.0,145.2,230.0,,,,51.0,6043.0,6043.0
52,Del Norte ,,53280.0,7.5,69.4,3.0,3.1,8.2,6.8,20.5,79.5,California,340.6,635.0,138462.0,170.7,320.0,,,,52.0,6015.0,6015.0
53,Tehama ,,52901.0,8.1,80.6,0.9,1.9,8.5,1.3,26.3,73.7,California,465.3,2065.0,320879.0,162.5,753.0,,,,53.0,6103.0,6103.0
54,Modoc ,,51090.0,9.9,85.0,2.0,0.8,7.2,3.5,15.2,84.8,California,310.5,220.0,44266.0,121.6,99.0,,,,54.0,6049.0,6049.0
55,Siskiyou ,,49857.0,7.9,81.8,1.7,1.9,5.8,3.4,13.3,86.7,California,352.3,1277.0,217581.0,170.5,643.0,,,,55.0,6093.0,6093.0
56,Imperial ,,49078.0,13.9,48.0,2.7,1.5,29.9,1.4,85.1,14.9,California,367.6,3338.0,902899.0,122.4,1117.0,,,,56.0,6025.0,6025.0
57,Trinity ,,42206.0,5.8,82.4,0.6,2.3,7.8,3.2,7.5,92.5,California,378.7,426.0,62705.0,116.3,142.0,,,,57.0,6105.0,6105.0
58,undefined,,,,,,,,,,,,,,,,,,,,58.0,,
0,Rockwall ,,111595,3.6,77.4,7.2,3.1,8.9,0.9,18.8,81.2,Texas,411.6,2166,505877,140.2,688,,,,0.0,48397.0,48397.0
1,Collin ,,104327,4.3,62.9,10.1,16.4,21.8,0.4,15.6,84.4,Texas,399,19367,5030190,118.8,5223,,,,1.0,48085.0,48085.0
2,Fort Bend ,,102590,5.5,44.8,20.2,21.0,29.3,0.3,24.9,75.1,Texas,377.1,14541,3954459,116.3,4032,,,,2.0,48157.0,48157.0
3,Kendall ,,100706,4.2,82.9,0.3,1.4,6.9,0.5,24.8,75.2,Texas,380.5,1183,227456,118.9,377,,,,3.0,48259.0,48259.0
4,Denton ,,96265,4.1,68.2,10.3,9.6,15.9,0.5,19.6,80.4,Texas,412.6,16504,4308452,123.5,4424,,,,4.0,48121.0,48121.0
5,Williamson ,,94705,4.5,71.9,6.5,7.6,13.6,0.4,25.0,75.0,Texas,439.4,12524,2852187,128.9,3426,,,,5.0,48491.0,48491.0
6,Chambers ,,93707,8.4,79.2,7.6,0.7,8.2,0.1,24.2,75.8,Texas,493.2,1034,212853,167,327,,,,6.0,48071.0,48071.0
7,Somervell ,,89253,5.4,82.4,2.1,1.1,5.3,0.3,18.0,82.0,Texas,447.5,270,44792,162.1,101,,,,7.0,48425.0,48425.0
8,Montgomery ,,88597,4.6,78.9,5.4,3.3,13.8,0.4,25.2,74.8,Texas,402.5,12733,2950941,143.4,4367,,,,8.0,48339.0,48339.0
9,Parker ,,88535,4.3,89.4,1.6,0.7,4.8,0.5,13.3,86.7,Texas,498.4,4154,692233,164.2,1344,,,,9.0,48367.0,48367.0
10,Midland ,,88210,3.3,73.3,6.4,2.1,13.8,0.7,46.3,53.7,Texas,368.3,2837,856189,144.6,1079,,,,10.0,48329.0,48329.0
11,Brazoria ,,87958,5.1,63.6,14.9,6.8,13.5,0.6,31.6,68.4,Texas,422.5,7835,1840309,156.6,2739,,,,11.0,48039.0,48039.0
12,Comal ,,85912,3.6,84.1,2.3,1.3,6.0,0.3,28.3,71.7,Texas,393.3,3890,744606,139.6,1383,,,,12.0,48091.0,48091.0
13,Glasscock ,,85417,no data/suppressed,62.3,no data/suppressed,no data/suppressed,22.9,no data/suppressed,44.1,55.9,Texas,284.9,23,6997,Data not presented,Data not presented,,,,13.0,48173.0,48173.0
14,Ellis ,,85272,4.0,73.8,11.3,0.8,7.8,0.6,27.2,72.8,Texas,451.8,4271,897420,159.8,1444,,,,14.0,48139.0,48139.0
15,Travis ,,85043,4.3,66.2,8.3,7.1,17.4,0.7,33.6,66.4,Texas,405.4,22570,6254419,120.8,6025,,,,15.0,48453.0,48453.0
16,Wilson ,,84042,3.9,82.8,1.5,0.6,4.4,0.4,40.5,59.5,Texas,394.3,1210,250551,142.9,443,,,,16.0,48493.0,48493.0
17,Andrews ,,80518,2.9,74.5,2.2,0.7,16.0,no data/suppressed,57.4,42.6,Texas,340.5,276,91137,145.7,110,,,,17.0,48003.0,48003.0
18,Guadalupe ,,80047,4.4,69.4,8.6,1.7,6.9,0.2,38.7,61.3,Texas,403.5,3638,815151,147.3,1289,,,,18.0,48187.0,48187.0
19,Galveston ,,79328,5.7,72.3,12.3,3.5,9.9,0.3,25.5,74.5,Texas,436.6,8482,1687998,171.2,3244,,,,19.0,48167.0,48167.0
20,Bastrop ,,78339,4.0,62.2,7.4,0.8,11.6,1.0,40.1,59.9,Texas,453.6,2328,434194,161.1,809,,,,20.0,48021.0,48021.0
21,Carson ,,76786,2.2,91.8,1.0,0.7,2.0,2.5,10.6,89.4,Texas,386.2,159,29783,131.2,58,,,,21.0,48065.0,48065.0
22,Hood ,,75851,6.2,91.9,1.0,0.7,3.1,0.6,12.9,87.1,Texas,459.5,2249,300127,148.1,772,,,,22.0,48221.0,48221.0
23,Wise ,,75482,4.6,88.3,1.4,0.6,7.3,0.7,20.0,80.0,Texas,461.4,1869,339421,182.9,720,,,,23.0,48497.0,48497.0
24,Kaufman ,,75187,4.9,71.7,13.6,1.4,8.3,0.3,23.7,76.3,Texas,464.3,3005,648962,178.4,1107,,,,24.0,48257.0,48257.0
25,Tarrant ,,73545,5.1,59.5,17.0,5.9,16.3,0.5,29.5,70.5,Texas,430,43462,10385766,149.2,14283,,,,25.0,48439.0,48439.0
26,Mason ,,73186,3.5,85.9,no data/suppressed,0.8,4.5,1.9,19.8,80.2,Texas,323,120,21238,148.1,61,,,,26.0,48319.0,48319.0
27,Yoakum ,,73102,3.6,74.3,1.3,0.6,20.0,0.9,67.8,32.2,Texas,419,170,43061,171.4,68,,,,27.0,48501.0,48501.0
28,Blanco ,,71201,4.3,81.1,no data/suppressed,1.2,6.7,0.5,20.1,79.9,Texas,395.2,410,58665,162.5,165,,,,28.0,48031.0,48031.0
29,Armstrong ,,71136,1.0,93.6,0.7,0.2,2.1,1.1,8.7,91.3,Texas,459.2,65,9285,150.5,25,,,,29.0,48011.0,48011.0
30,Hays ,,71061,5.6,76.6,4.0,1.7,9.3,0.7,40.0,60.0,Texas,423.9,4323,1114137,140.8,1315,,,,30.0,48209.0,48209.0
31,Johnson ,,70767,3.3,85.6,4.4,1.2,4.4,0.3,22.8,77.2,Texas,470,4488,856796,171.8,1611,,,,31.0,48251.0,48251.0
32,Randall ,,70544,3.2,83.7,3.3,2.2,5.3,0.8,23.3,76.7,Texas,430.2,3323,680027,140,1086,,,,32.0,48381.0,48381.0
33,Clay ,,69967,1.8,92.8,0.4,1.0,2.8,0.9,6.9,93.1,Texas,450.5,367,52218,167,140,,,,33.0,48077.0,48077.0
34,Martin ,,69194,5.7,83.5,0.5,0.4,9.7,no data/suppressed,46.3,53.7,Texas,474.2,128,28380,208.8,56,,,,34.0,48317.0,48317.0
35,Orange ,,68756,5.4,83.7,8.7,0.9,3.1,0.2,8.5,91.5,Texas,465.5,2371,418879,184,955,,,,35.0,48361.0,48361.0
36,Borden ,,68500,4.4,94.2,no data/suppressed,no data/suppressed,0.7,no data/suppressed,11.8,88.2,Texas,457.4,23,3339,Data not presented,Data not presented,,,,36.0,48033.0,48033.0
37,Austin ,,68400,5.5,75.7,8.9,0.7,10.0,0.1,27.9,72.1,Texas,397.2,826,149458,147.5,314,,,,37.0,48015.0,48015.0
38,Oldham ,,68077,1.5,88.0,4.6,1.0,5.6,0.2,23.5,76.5,Texas,297.2,39,10549,184.2,20,,,,38.0,48359.0,48359.0
39,Winkler ,,67904,2.2,75.6,1.9,0.8,15.5,3.7,62.2,37.8,Texas,382.3,144,39112,130.3,50,,,,39.0,48495.0,48495.0
40,Crane ,,67804,3.5,49.2,1.2,3.3,24.0,0.3,65.6,34.4,Texas,380.9,86,23693,194.1,43,,,,40.0,48103.0,48103.0
41,Gaines ,,67728,3.3,85.0,2.2,1.0,27.0,0.7,42.4,57.6,Texas,337.4,281,105387,154.1,117,,,,41.0,48165.0,48165.0
42,Medina ,,67180,3.0,78.5,2.5,0.9,5.8,0.7,52.8,47.2,Texas,387.3,1236,254343,136.7,439,,,,42.0,48325.0,48325.0
43,Archer ,,67083,3.2,92.9,0.5,0.1,3.7,1.2,8.4,91.6,Texas,406.2,261,43768,139.2,95,,,,43.0,48009.0,48009.0
44,Fayette ,,66624,3.5,86.8,6.2,0.5,8.3,0.1,21.9,78.1,Texas,383.6,798,126236,122.9,290,,,,44.0,48149.0,48149.0
45,Lampasas ,,66506,6.7,82.2,3.7,1.5,5.2,0.7,20.0,80.0,Texas,486.6,722,105761,173.6,265,,,,45.0,48281.0,48281.0
46,Lipscomb ,,66250,5.9,75.3,1.1,1.3,14.1,0.7,33.8,66.2,Texas,379.8,75,16503,119.8,26,,,,46.0,48295.0,48295.0
47,Ward ,,66216,5.7,80.6,3.7,2.5,9.3,0.2,55.2,44.8,Texas,389.8,239,58723,146.8,91,,,,47.0,48475.0,48475.0
48,Washington ,,65913,4.8,74.7,17.0,1.3,6.0,0.2,16.8,83.2,Texas,405.1,1050,176374,138.3,391,,,,48.0,48477.0,48477.0
49,Harris ,,65788,6.5,52.0,18.9,7.1,26.2,0.5,43.6,56.4,Texas,393.9,84936,23403043,139.4,28052,,,,49.0,48201.0,48201.0
50,Waller ,,65379,4.6,54.3,23.7,1.4,11.8,0.5,31.1,68.9,Texas,435.5,1110,268129,153.6,382,,,,50.0,48473.0,48473.0
51,Burnet ,,65363,3.7,85.4,1.5,0.8,8.0,0.3,22.7,77.3,Texas,437.8,1555,237738,148.5,558,,,,51.0,48053.0,48053.0
52,Hardin ,,65347,4.2,88.8,6.1,0.5,1.8,0.3,6.3,93.7,Texas,450.2,1604,286780,164.9,598,,,,52.0,48199.0,48199.0
53,Dallas ,,65011,5.2,51.8,22.5,6.6,24.5,0.5,40.7,59.3,Texas,417.1,51162,13113168,146.3,16934,,,,53.0,48113.0,48113.0
54,Ector ,,64975,6.1,66.0,4.8,1.2,15.6,0.7,62.7,37.3,Texas,434.6,2997,810335,173.4,1130,,,,54.0,48135.0,48135.0
55,Garza ,,64871,6.9,72.0,7.3,2.3,26.5,0.6,49.9,50.1,Texas,343,104,31364,144.1,44,,,,55.0,48169.0,48169.0
56,Bandera ,,64495,6.7,85.4,1.0,0.4,6.1,0.5,20.0,80.0,Texas,365.8,748,113848,144.3,309,,,,56.0,48019.0,48019.0
57,Gillespie ,,64438,4.7,88.0,0.2,0.4,9.1,2.5,24.2,75.8,Texas,437.5,1032,133338,131.5,367,,,,57.0,48171.0,48171.0
58,Burleson ,,64109,5.5,75.6,13.2,no data/suppressed,6.2,0.9,21.3,78.7,Texas,442.7,597,91185,157.7,227,,,,58.0,48051.0,48051.0
59,Bailey ,,64044,2.3,86.7,0.2,0.7,21.9,0.9,66.5,33.5,Texas,357.3,135,34582,138.2,52,,,,59.0,48017.0,48017.0
60,Kent ,,63994,0.5,85.1,1.1,no data/suppressed,0.8,no data/suppressed,16.6,83.4,Texas,350.9,23,3774,Data not presented,Data not presented,,,,60.0,48263.0,48263.0
61,Atascosa ,,63391,6.3,76.4,0.4,0.5,6.8,0.2,65.3,34.7,Texas,379.3,1067,250972,140.8,397,,,,61.0,48013.0,48013.0
62,Caldwell ,,63380,2.4,69.7,5.2,0.9,11.7,0.6,54.1,45.9,Texas,409.9,1002,214084,166.3,401,,,,62.0,48055.0,48055.0
63,Cooke ,,63338,3.8,86.3,2.8,0.8,7.6,0.8,18.7,81.3,Texas,482.3,1294,202138,163.9,455,,,,63.0,48097.0,48097.0
64,McMullen ,,63056,3.4,83.3,no data/suppressed,no data/suppressed,5.6,0.7,64.3,35.7,Texas,311.9,23,3757,Data not presented,Data not presented,,,,64.0,48311.0,48311.0
65,Parmer ,,62885,2.2,78.1,1.0,0.2,24.1,0.5,64.7,35.3,Texas,338.7,177,48195,131.9,69,,,,65.0,48369.0,48369.0
66,Llano ,,62839,4.2,90.2,0.6,0.4,4.2,0.9,11.3,88.7,Texas,376.7,836,107258,147.5,364,,,,66.0,48299.0,48299.0
67,Reagan ,,62829,6.4,50.9,2.5,1.8,14.3,no data/suppressed,69.4,30.6,Texas,395.6,68,18830,138.6,23,,,,67.0,48383.0,48383.0
68,Roberts ,,62717,no data/suppressed,95.9,no data/suppressed,no data/suppressed,1.7,0.3,13.8,86.2,Texas,306.1,21,4386,Data not presented,Data not presented,,,,68.0,48393.0,48393.0
69,Smith ,,62518,4.9,74.2,17.0,1.8,9.3,0.4,20.1,79.9,Texas,464,6473,1150922,145.9,2086,,,,69.0,48423.0,48423.0
70,Stonewall ,,62273,2.1,92.0,1.0,no data/suppressed,1.3,2.7,25.3,74.7,Texas,560.2,57,6807,190.5,21,,,,70.0,48433.0,48433.0
71,Kerr ,,62204,3.7,80.4,1.4,0.8,6.8,0.4,27.9,72.1,Texas,423,1875,260975,151,761,,,,71.0,48265.0,48265.0
72,Bexar ,,62169,5.6,64.0,7.6,3.1,13.1,0.7,60.9,39.1,Texas,389.6,37922,9894132,142,13428,,,,72.0,48029.0,48029.0
73,Grayson ,,62078,3.9,82.4,5.6,1.6,6.6,0.7,14.2,85.8,Texas,457,3973,667635,173,1539,,,,73.0,48181.0,48181.0
74,Tom Green ,,62052,3.7,77.0,4.0,1.5,5.4,0.5,41.2,58.8,Texas,451.2,3042,593225,155.7,1082,,,,74.0,48451.0,48451.0
75,Calhoun ,,61887,4.1,74.8,2.6,4.5,12.6,0.3,49.8,50.2,Texas,409.4,564,107348,166.6,240,,,,75.0,48057.0,48057.0
76,Sutton ,,61538,4.1,53.6,0.1,0.1,13.1,0.7,70.2,29.8,Texas,414.4,102,18964,153.7,41,,,,76.0,48435.0,48435.0
77,Franklin ,,61391,6.6,83.3,4.8,no data/suppressed,6.8,0.1,15.3,84.7,Texas,485.7,375,53833,177.6,139,,,,77.0,48159.0,48159.0
78,Hartley ,,61196,0.8,80.6,7.8,0.5,8.4,0.4,27.6,72.4,Texas,319.5,104,27940,130.9,42,,,,78.0,48205.0,48205.0
79,Van Zandt ,,61121,3.7,91.6,2.9,0.4,3.5,0.7,11.8,88.2,Texas,467,1869,279850,172.3,707,,,,79.0,48467.0,48467.0
80,Schleicher ,,61094,16.4,62.8,1.2,0.5,8.0,no data/suppressed,54.3,45.7,Texas,415.6,78,14489,154.6,30,,,,80.0,48413.0,48413.0
81,Dallam ,,61069,2.5,79.1,no data/suppressed,no data/suppressed,28.2,0.5,47.1,52.9,Texas,378.5,125,36359,141.3,46,,,,81.0,48111.0,48111.0
82,Hunt ,,61053,5.4,77.7,7.4,1.2,6.9,0.8,17.9,82.1,Texas,439.6,2600,481011,175.1,1041,,,,82.0,48231.0,48231.0
83,La Salle ,,61042,1.5,65.2,2.1,0.1,5.8,no data/suppressed,84.8,15.2,Texas,343.3,128,37690,160.2,60,,,,83.0,48283.0,48283.0
84,Jackson ,,60807,4.3,81.2,7.5,0.7,6.9,0.1,33.7,66.3,Texas,438.7,415,74109,175.4,176,,,,84.0,48239.0,48239.0
85,Lee ,,60750,2.8,79.6,11.1,1.2,9.1,0.1,24.4,75.6,Texas,455.8,535,85870,180.8,217,,,,85.0,48287.0,48287.0
86,Victoria ,,60598,4.6,75.3,5.8,1.3,6.5,0.6,48.0,52.0,Texas,449.8,2411,460220,156.3,853,,,,86.0,48469.0,48469.0
87,Rusk ,,60330,6.1,73.1,16.4,0.6,7.1,0.1,17.6,82.4,Texas,435,1481,269940,166.7,566,,,,87.0,48401.0,48401.0
88,Howard ,,60260,5.4,76.8,5.5,0.9,10.5,0.8,44.0,56.0,Texas,394.9,772,181065,150.4,290,,,,88.0,48227.0,48227.0
89,Madison ,,59923,7.3,71.3,16.1,1.3,10.4,0.3,24.1,75.9,Texas,390.7,321,71645,172.1,143,,,,89.0,48313.0,48313.0
90,Palo Pinto ,,59796,6.9,87.9,2.5,1.0,5.9,1.1,20.3,79.7,Texas,475.2,941,143962,172.8,362,,,,90.0,48363.0,48363.0
91,Fannin ,,59686,4.8,86.2,5.9,0.5,4.7,0.7,12.1,87.9,Texas,473.7,1118,175232,169,419,,,,91.0,48147.0,48147.0
92,San Patricio ,,59532,4.3,80.9,2.0,1.2,4.8,0.1,58.5,41.5,Texas,440.9,1657,334847,171,642,,,,92.0,48409.0,48409.0
93,Nueces ,,59477,6.0,72.3,3.6,2.2,8.9,0.3,64.6,35.4,Texas,380.9,7705,1810753,138.2,2815,,,,93.0,48355.0,48355.0
94,Bosque ,,59328,3.8,87.2,1.8,0.7,6.4,0.4,19.3,80.7,Texas,430.2,644,92139,184.3,293,,,,94.0,48035.0,48035.0
95,Motley ,,59286,3.6,85.8,1.2,no data/suppressed,0.6,no data/suppressed,13.4,86.6,Texas,390.3,45,6014,208.6,22,,,,95.0,48345.0,48345.0
96,Montague ,,59127,7.0,92.4,0.7,no data/suppressed,3.6,0.4,11.4,88.6,Texas,468.4,692,98201,180.3,283,,,,96.0,48337.0,48337.0
97,Grimes ,,59086,4.9,70.8,14.7,0.4,6.5,0.3,24.5,75.5,Texas,442,839,142237,167.3,324,,,,97.0,48185.0,48185.0
98,Kinney ,,58925,1.5,94.1,no data/suppressed,no data/suppressed,12.7,0.1,65.7,34.3,Texas,335.6,99,18371,160,48,,,,98.0,48271.0,48271.0
99,Delta ,,58705,4.2,83.6,8.5,0.3,0.8,no data/suppressed,8.9,91.1,Texas,517.2,198,26386,225.4,88,,,,99.0,48119.0,48119.0
100,Frio ,,58456,5.1,72.2,4.1,1.1,18.3,0.2,79.8,20.2,Texas,346.5,318,100064,161.2,149,,,,100.0,48163.0,48163.0
101,Wood ,,58418,4.6,86.6,4.7,0.7,4.1,0.2,10.5,89.5,Texas,456.4,1806,225269,162.2,651,,,,101.0,48499.0,48499.0
102,Coryell ,,58414,6.1,67.3,14.2,2.8,5.8,0.8,19.3,80.7,Texas,479,1544,377881,184.4,559,,,,102.0,48099.0,48099.0
103,Upton ,,58333,5.2,42.7,3.8,0.5,9.2,0.5,56.3,43.7,Texas,374.7,72,18254,154.2,30,,,,103.0,48461.0,48461.0
104,Harrison ,,57996,6.6,69.4,20.0,0.8,4.9,0.3,13.7,86.3,Texas,461,1940,332736,153.1,664,,,,104.0,48203.0,48203.0
105,Bell ,,57932,7.7,57.8,23.7,3.5,7.7,0.6,25.8,74.2,Texas,480.2,7675,1778502,161.3,2487,,,,105.0,48027.0,48027.0
106,DeWitt ,,57873,6.3,62.3,8.1,0.1,3.0,1.4,36.2,63.8,Texas,423,593,101083,195.4,293,,,,106.0,48123.0,48123.0
107,Taylor ,,57811,2.8,73.7,7.8,2.4,6.7,0.3,25.3,74.7,Texas,451.2,3325,687605,168,1286,,,,107.0,48441.0,48441.0
108,Hill ,,57800,5.5,82.2,6.2,0.9,7.2,0.7,21.6,78.4,Texas,465.4,1202,180543,187,500,,,,108.0,48217.0,48217.0
109,Hopkins ,,57745,4.5,82.3,7.0,1.0,7.8,0.4,17.5,82.5,Texas,468,1111,183542,162.9,404,,,,109.0,48223.0,48223.0
110,Lavaca ,,57602,3.2,78.3,6.0,0.4,4.7,0.1,19.7,80.3,Texas,422.3,653,100359,156.6,267,,,,110.0,48285.0,48285.0
111,Ochiltree ,,57413,1.9,76.4,0.8,0.5,27.7,0.7,55.6,44.4,Texas,364.7,173,49537,135.9,62,,,,111.0,48357.0,48357.0
112,Hutchinson ,,57288,7.3,80.6,2.2,1.1,5.0,1.8,24.2,75.8,Texas,465.4,615,105523,173.2,230,,,,112.0,48233.0,48233.0
113,Jack ,,56916,6.6,90.1,4.3,0.6,5.0,no data/suppressed,17.5,82.5,Texas,341.8,193,44441,142.8,82,,,,113.0,48237.0,48237.0
114,Erath ,,56691,5.6,86.0,1.4,1.2,7.9,1.4,21.7,78.3,Texas,388.7,870,211130,141.1,316,,,,114.0,48143.0,48143.0
115,Gregg ,,56566,3.7,67.4,19.5,1.1,8.2,0.1,19.4,80.6,Texas,492.8,3521,618167,170.9,1247,,,,115.0,48183.0,48183.0
116,Lubbock ,,56529,4.4,74.1,7.3,2.4,6.3,0.7,36.4,63.6,Texas,429.4,6445,1541958,153.7,2316,,,,116.0,48303.0,48303.0
