,County,Alaska Boroughs_x,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count,Vermont Counties FIPS,Wyoming Counties FIPS,Uninsured,Unnamed: 0.1,FIPS,County FIPS
10,Windham ,,59195,4.7,93.6,1.2,1.2,3.0,0.2,2.5,97.5,Vermont,465.3,1510,213138,163.9,546,50025.0,,,,,
11,Orleans ,,58037,5.9,95.3,0.6,0.1,3.7,0.3,1.6,98.4,Vermont,455.1,927,134227,161.0,342,50019.0,,,,,
12,Caledonia ,,55159,3.6,94.6,0.9,0.5,2.4,0.1,1.9,98.1,Vermont,451.3,982,150134,154.5,338,50005.0,,,,,
13,Essex ,,48194,5.5,95.4,0.1,0.7,2.3,0.1,1.5,98.5,Vermont,442.4,240,30886,181.4,107,50009.0,,,,,
0,Teton ,,94498,,85.2,0.7,1.6,11.1,0.1,14.4,85.1,Wyoming,402.5,550,116781,93.3,115,,56039.0,2.4,,,
1,Campbell ,,87547,,90.2,0.3,0.1,2.9,1.1,8.2,91.4,Wyoming,385.3,863,234790,159.7,299,,56005.0,3.3,,,
2,Sublette ,,82342,,96.0,no data/suppressed,no data/suppressed,5.1,0.2,4.2,92.7,Wyoming,290.4,191,49325,81.8,56,,56035.0,5.2,,,
3,Sweetwater ,,76668,,86.8,1.2,1.2,5.5,1.2,15.6,83.9,Wyoming,421.2,968,216760,161.3,337,,56037.0,6.7,,,
4,Uinta ,,75106,,92.1,0.3,0.2,2.9,0.3,10.3,90.3,Wyoming,368.8,416,101870,127.5,144,,56041.0,3.5,,,
5,Lincoln ,,74835,,95.0,0.1,0.4,2.7,0.3,5.3,95.1,Wyoming,380.3,468,98199,111.8,135,,56023.0,3.3,,,
6,Converse ,,73698,,95.5,0.2,0.3,2.9,0.4,6.7,91.6,Wyoming,404.2,355,69211,143.2,129,,56009.0,4.9,,,
7,Laramie ,,71550,,86.2,2.4,1.2,3.2,1.0,15.1,84.7,Wyoming,450.4,2679,496362,145.8,872,,56021.0,4.0,,,
8,Crook ,,67835,,94.9,no data/suppressed,0.3,2.2,0.9,1.1,97.5,Wyoming,410.0,237,37508,159.5,90,,56011.0,0.3,,,
9,Weston ,,65566,,89.3,0.4,1.8,1.6,1.3,0.7,98.1,Wyoming,439.0,226,34708,145.8,79,,56045.0,4.0,,,
10,Natrona ,,64100,,92.2,0.8,0.5,2,1.0,8.4,91.1,Wyoming,414.8,1971,400336,138.6,661,,56025.0,4.0,,,
11,Carbon ,,62654,,87.5,1.1,0.7,5.3,1.8,16.4,81.4,Wyoming,395.4,370,75364,127.5,120,,56007.0,3.9,,,
12,Park ,,62586,,92.9,0.7,0.3,2.5,0.7,5.7,94.3,Wyoming,454.2,1002,146366,122.9,291,,56029.0,3.2,,,
