Area,County FIPS,Percent
"Nueces, Texas","48355","72.3"
"Galveston, Texas","48167","72.3"
"Frio, Texas","48163","72.2"
"Marion, Texas","48315","72.2"
"Potter, Texas","48375","72.1"
"Garza, Texas","48169","72.0"
"Williamson, Texas","48491","71.9"
"Culberson, Texas","48109","71.9"
"McLennan, Texas","48309","71.9"
"Wilbarger, Texas","48487","71.8"
"Liberty, Texas","48291","71.8"
"Kaufman, Texas","48257","71.7"
"San Augustine, Texas","48405","71.7"
"Madison, Texas","48313","71.3"
"Hall, Texas","48191","71.3"
"Grimes, Texas","48185","70.8"
"Starr, Texas","48427","70.7"
"Robertson, Texas","48395","70.5"
"Camp, Texas","48063","69.9"
"Irion, Texas","48235","69.9"
"Moore, Texas","48341","69.8"
"Collingsworth, Texas","48087","69.7"
"Nacogdoches, Texas","48347","69.7"
"Caldwell, Texas","48055","69.7"
"Jones, Texas","48253","69.7"
"Presidio, Texas","48377","69.6"
"Harrison, Texas","48203","69.4"
"Navarro, Texas","48349","69.4"
"Guadalupe, Texas","48187","69.4"
"Limestone, Texas","48293","69.2"
"Morris, Texas","48343","69.0"
"Kleberg, Texas","48273","68.6"
"Brooks, Texas","48047","68.5"
"Zapata, Texas","48505","68.4"
"Colorado, Texas","48089","68.3"
"Webb, Texas","48479","68.3"
"Denton, Texas","48121","68.2"
"Walker, Texas","48471","68.2"
"Reeves, Texas","48389","68.0"
"Bowie, Texas","48037","67.7"
"Anderson, Texas","48001","67.7"
"Houston, Texas","48225","67.6"
"Gregg, Texas","48183","67.4"
"Coryell, Texas","48099","67.3"
"Maverick, Texas","48323","67.3"
"Titus, Texas","48449","67.1"
"Travis, Texas","48453","66.2"
"Ector, Texas","48135","66.0"
"Cochran, Texas","48079","65.5"
"Falls, Texas","48145","65.4"
"Gonzales, Texas","48177","65.2"
"La Salle, Texas","48283","65.2"
"Hidalgo, Texas","48215","64.4"
"Bexar, Texas","48029","64.0"
"Brazoria, Texas","48039","63.6"
"Dawson, Texas","48115","63.5"
"Collin, Texas","48085","62.9"
"Schleicher, Texas","48413","62.8"
"Matagorda, Texas","48321","62.5"
"Glasscock, Texas","48173","62.3"
"DeWitt, Texas","48123","62.3"
"Bastrop, Texas","48021","62.2"
"Dimmit, Texas","48127","60.4"
"El Paso, Texas","48141","59.6"
"Tarrant, Texas","48439","59.5"
"Bell, Texas","48027","57.8"
"Waller, Texas","48473","54.3"
"Sutton, Texas","48435","53.6"
"Harris, Texas","48201","52.0"
"Dallas, Texas","48113","51.8"
"Jefferson, Texas","48245","51.0"
"Reagan, Texas","48383","50.9"
"Crane, Texas","48103","49.2"
"Crockett, Texas","48105","47.3"
"Hudspeth, Texas","48229","46.7"
"Fort Bend, Texas","48157","44.8"
"Upton, Texas","48461","42.7"

"undefined"
