Area,County FIPS,Percent
"Palo Pinto, Texas","48363","20.3"
"Blanco, Texas","48031","20.1"
"Nacogdoches, Texas","48347","20.1"
"Smith, Texas","48423","20.1"
"Wichita, Texas","48485","20.0"
"Bandera, Texas","48019","20.0"
"Lampasas, Texas","48281","20.0"
"Wise, Texas","48497","20.0"
"Mason, Texas","48319","19.8"
"Lavaca, Texas","48285","19.7"
"Denton, Texas","48121","19.6"
"Young, Texas","48503","19.4"
"Gregg, Texas","48183","19.4"
"Bosque, Texas","48035","19.3"
"Coryell, Texas","48099","19.3"
"Shelby, Texas","48419","18.8"
"Rockwall, Texas","48397","18.8"
"Cooke, Texas","48097","18.7"
"Walker, Texas","48471","18.3"
"Anderson, Texas","48001","18.3"
"Coleman, Texas","48083","18.1"
"Somervell, Texas","48425","18.0"
"Hunt, Texas","48231","17.9"
"Rusk, Texas","48401","17.6"
"Jack, Texas","48237","17.5"
"Hopkins, Texas","48223","17.5"
"Eastland, Texas","48133","17.1"
"Washington, Texas","48477","16.8"
"Kent, Texas","48263","16.6"
"Freestone, Texas","48161","16.4"
"Collin, Texas","48085","15.6"
"Polk, Texas","48373","15.5"
"Franklin, Texas","48159","15.3"
"Leon, Texas","48289","15.3"
"San Jacinto, Texas","48407","14.3"
"Grayson, Texas","48181","14.2"
"Baylor, Texas","48023","14.2"
"Roberts, Texas","48393","13.8"
"Harrison, Texas","48203","13.7"
"Hamilton, Texas","48193","13.6"
"Henderson, Texas","48213","13.6"
"Motley, Texas","48345","13.4"
"Parker, Texas","48367","13.3"
"Throckmorton, Texas","48447","13.3"
"Hood, Texas","48221","12.9"
"Fannin, Texas","48147","12.1"
"Shackelford, Texas","48417","12.0"
"Houston, Texas","48225","11.9"
"Van Zandt, Texas","48467","11.8"
"Donley, Texas","48129","11.8"
"Borden, Texas","48033","11.8"
"Montague, Texas","48337","11.4"
"Llano, Texas","48299","11.3"
"Trinity, Texas","48455","11.1"
"Morris, Texas","48343","10.7"
"Carson, Texas","48065","10.6"
"Wood, Texas","48499","10.5"
"Callahan, Texas","48059","10.3"
"Rains, Texas","48379","9.5"
"Panola, Texas","48365","9.1"
