Area,County FIPS,Percent
"Glasscock, Texas","48173","55.9"
"Titus, Texas","48449","55.6"
"Swisher, Texas","48437","54.8"
"Sherman, Texas","48421","54.8"
"Edwards, Texas","48137","54.7"
"Brewster, Texas","48043","54.5"
"Martin, Texas","48317","53.7"
"Midland, Texas","48329","53.7"
"Lynn, Texas","48305","53.6"
"Dallam, Texas","48111","52.9"
"Victoria, Texas","48469","52.0"
"Hansford, Texas","48195","51.4"
"Hockley, Texas","48219","50.7"
"Calhoun, Texas","48057","50.2"
"Garza, Texas","48169","50.1"
"Refugio, Texas","48391","48.8"
"Gonzales, Texas","48177","48.2"
"Medina, Texas","48325","47.2"
"Caldwell, Texas","48055","45.9"
"Terrell, Texas","48443","45.9"
"Schleicher, Texas","48413","45.7"
"Ward, Texas","48475","44.8"
"Ochiltree, Texas","48357","44.4"
"Terry, Texas","48445","43.8"
"Karnes, Texas","48255","43.7"
"Upton, Texas","48461","43.7"
"Lamb, Texas","48279","43.5"
"Crosby, Texas","48107","43.3"
"Andrews, Texas","48003","42.6"
"Moore, Texas","48341","42.3"
"San Patricio, Texas","48409","41.5"
"Dawson, Texas","48115","41.4"
"Floyd, Texas","48153","40.7"
"Bee, Texas","48025","40.5"
"Cochran, Texas","48079","40.3"
"Crockett, Texas","48105","39.5"
"Hale, Texas","48189","39.4"
"Bexar, Texas","48029","39.1"
"Winkler, Texas","48495","37.8"
"Ector, Texas","48135","37.3"
"McMullen, Texas","48311","35.7"
"Nueces, Texas","48355","35.4"
"Parmer, Texas","48369","35.3"
"Atascosa, Texas","48013","34.7"
"Castro, Texas","48069","34.5"
"Crane, Texas","48103","34.4"
"Kinney, Texas","48271","34.3"
"Bailey, Texas","48017","33.5"
"Yoakum, Texas","48501","32.2"
"Reagan, Texas","48383","30.6"
"Pecos, Texas","48371","30.6"
"Sutton, Texas","48435","29.8"
"Uvalde, Texas","48463","27.7"
"Kleberg, Texas","48273","26.5"
"Deaf Smith, Texas","48117","25.6"
"Reeves, Texas","48389","24.9"
"Hudspeth, Texas","48229","22.3"
"Frio, Texas","48163","20.2"
"Presidio, Texas","48377","20.0"
"Jim Wells, Texas","48249","19.5"
"Val Verde, Texas","48465","17.4"
"Culberson, Texas","48109","17.1"
"El Paso, Texas","48141","17.1"
"La Salle, Texas","48283","15.2"
"Dimmit, Texas","48127","12.2"
"Willacy, Texas","48489","11.8"
"Duval, Texas","48131","10.7"
"Cameron, Texas","48061","10.0"
"Brooks, Texas","48047","8.4"
"Hidalgo, Texas","48215","7.5"
"Jim Hogg, Texas","48247","6.7"
"Zavala, Texas","48507","6.1"
"Zapata, Texas","48505","5.2"
"Maverick, Texas","48323","4.9"
"Webb, Texas","48479","4.5"
"Starr, Texas","48427","3.7"
"Kenedy, Texas","48261","1.8"

"undefined"
