Area,County FIPS,Percent
"Polk, Texas","48373","5.1"
"Menard, Texas","48327","5.1"
"Jack, Texas","48237","5.0"
"Hutchinson, Texas","48233","5.0"
"Hamilton, Texas","48193","4.9"
"Harrison, Texas","48203","4.9"
"Falls, Texas","48145","4.9"
"Parker, Texas","48367","4.8"
"Henderson, Texas","48213","4.8"
"San Patricio, Texas","48409","4.8"
"Coke, Texas","48081","4.8"
"Kimble, Texas","48267","4.7"
"Milam, Texas","48331","4.7"
"Eastland, Texas","48133","4.7"
"Fannin, Texas","48147","4.7"
"Lavaca, Texas","48285","4.7"
"Haskell, Texas","48207","4.6"
"Dawson, Texas","48115","4.6"
"San Augustine, Texas","48405","4.5"
"Robertson, Texas","48395","4.5"
"Runnels, Texas","48399","4.5"
"Mason, Texas","48319","4.5"
"Bowie, Texas","48037","4.4"
"Wilson, Texas","48493","4.4"
"Johnson, Texas","48251","4.4"
"Jones, Texas","48253","4.2"
"Llano, Texas","48299","4.2"
"Brown, Texas","48049","4.1"
"Trinity, Texas","48455","4.1"
"Wood, Texas","48499","4.1"
"Aransas, Texas","48007","4.1"
"Lynn, Texas","48305","3.9"
"Panola, Texas","48365","3.8"
"Rains, Texas","48379","3.7"
"Archer, Texas","48009","3.7"
"Lamar, Texas","48277","3.6"
"Foard, Texas","48155","3.6"
"Irion, Texas","48235","3.6"
"Upshur, Texas","48459","3.6"
"Montague, Texas","48337","3.6"
"Jim Wells, Texas","48249","3.5"
"Van Zandt, Texas","48467","3.5"
"Tyler, Texas","48457","3.4"
"Red River, Texas","48387","3.1"
"Orange, Texas","48361","3.1"
"Bee, Texas","48025","3.1"
"Hood, Texas","48221","3.1"
"Jasper, Texas","48241","3.1"
"DeWitt, Texas","48123","3.0"
"Houston, Texas","48225","3.0"
"Duval, Texas","48131","2.9"
"Clay, Texas","48077","2.8"
"Shackelford, Texas","48417","2.8"
"Baylor, Texas","48023","2.8"
"Jim Hogg, Texas","48247","2.6"
"Cass, Texas","48067","2.6"
"Mitchell, Texas","48335","2.6"
"Donley, Texas","48129","2.5"
"Fisher, Texas","48151","2.4"
"Armstrong, Texas","48011","2.1"
"Marion, Texas","48315","2.0"
"Carson, Texas","48065","2.0"
"Real, Texas","48385","1.9"
"Hardin, Texas","48199","1.8"
"Roberts, Texas","48393","1.7"
"Throckmorton, Texas","48447","1.6"
"Sabine, Texas","48403","1.6"
"Refugio, Texas","48391","1.5"
"Stonewall, Texas","48433","1.3"
"Loving, Texas","48301","1.2"
"Callahan, Texas","48059","1.1"
"Newton, Texas","48351","0.8"
"Delta, Texas","48119","0.8"
"Kent, Texas","48263","0.8"
"Terrell, Texas","48443","0.8"
"Borden, Texas","48033","0.7"
"Motley, Texas","48345","0.6"
"Cottle, Texas","48101","no data/suppressed"

"undefined"
