Area,County FIPS,Dollars
"Hale, Texas","48189","48649"
"Matagorda, Texas","48321","48566"
"Haskell, Texas","48207","48432"
"Terry, Texas","48445","47734"
"Jim Wells, Texas","48249","47629"
"Hansford, Texas","48195","47500"
"Throckmorton, Texas","48447","47500"
"Nacogdoches, Texas","48347","47306"
"Coleman, Texas","48083","47216"
"Terrell, Texas","48443","47012"
"San Saba, Texas","48411","46927"
"Concho, Texas","48095","46719"
"San Jacinto, Texas","48407","46678"
"McCulloch, Texas","48307","46552"
"Stephens, Texas","48429","46537"
"Morris, Texas","48343","46468"
"Trinity, Texas","48455","45392"
"Wilbarger, Texas","48487","45262"
"Potter, Texas","48375","45096"
"Nolan, Texas","48353","44700"
"Hidalgo, Texas","48215","44666"
"Zavala, Texas","48507","44573"
"Shelby, Texas","48419","44504"
"Maverick, Texas","48323","44502"
"Jasper, Texas","48241","44356"
"Crosby, Texas","48107","44304"
"Walker, Texas","48471","44104"
"Real, Texas","48385","44083"
"Hamilton, Texas","48193","44030"
"Eastland, Texas","48133","43953"
"Duval, Texas","48131","43836"
"Baylor, Texas","48023","43705"
"Cottle, Texas","48101","43654"
"Houston, Texas","48225","43644"
"Marion, Texas","48315","43153"
"San Augustine, Texas","48405","43130"
"Cameron, Texas","48061","43057"
"Dawson, Texas","48115","42778"
"Kenedy, Texas","48261","42778"
"Coke, Texas","48081","42639"
"Collingsworth, Texas","48087","42446"
"Dickens, Texas","48125","42241"
"King, Texas","48269","42125"
"Hall, Texas","48191","41467"
"Sabine, Texas","48403","41308"
"Red River, Texas","48387","40674"
"Menard, Texas","48327","40341"
"Edwards, Texas","48137","40000"
"Irion, Texas","48235","39770"
"Swisher, Texas","48437","39685"
"Willacy, Texas","48489","39401"
"Jeff Davis, Texas","48243","38659"
"Briscoe, Texas","48045","38469"
"Cochran, Texas","48079","38203"
"Newton, Texas","48351","38116"
"Foard, Texas","48155","37679"
"Jim Hogg, Texas","48247","37342"
"Falls, Texas","48145","35317"
"Zapata, Texas","48505","34406"
"Culberson, Texas","48109","34239"
"Starr, Texas","48427","33334"
"Hudspeth, Texas","48229","32404"
"Brooks, Texas","48047","26827"
"Presidio, Texas","48377","26395"
"Dimmit, Texas","48127","25000"
"Loving, Texas","48301","no data/suppressed"

"undefined"
