Area,County FIPS,Percent
"Wise, Texas","48497","1.4"
"Kerr, Texas","48265","1.4"
"Terrell, Texas","48443","1.4"
"Hudspeth, Texas","48229","1.4"
"Real, Texas","48385","1.4"
"Young, Texas","48503","1.3"
"Yoakum, Texas","48501","1.3"
"Hardeman, Texas","48197","1.3"
"Crane, Texas","48103","1.2"
"Val Verde, Texas","48465","1.2"
"Castro, Texas","48069","1.2"
"Schleicher, Texas","48413","1.2"
"Motley, Texas","48345","1.2"
"Uvalde, Texas","48463","1.1"
"Lipscomb, Texas","48295","1.1"
"Kent, Texas","48263","1.1"
"Duval, Texas","48131","1.0"
"Parmer, Texas","48369","1.0"
"Lynn, Texas","48305","1.0"
"Kimble, Texas","48267","1.0"
"Callahan, Texas","48059","1.0"
"McCulloch, Texas","48307","1.0"
"Hood, Texas","48221","1.0"
"Coke, Texas","48081","1.0"
"Bandera, Texas","48019","1.0"
"Stonewall, Texas","48433","1.0"
"Carson, Texas","48065","1.0"
"Ochiltree, Texas","48357","0.8"
"Jim Wells, Texas","48249","0.8"
"Deaf Smith, Texas","48117","0.8"
"Armstrong, Texas","48011","0.7"
"Montague, Texas","48337","0.7"
"Hidalgo, Texas","48215","0.6"
"Willacy, Texas","48489","0.6"
"Cameron, Texas","48061","0.6"
"Llano, Texas","48299","0.6"
"Martin, Texas","48317","0.5"
"Comanche, Texas","48093","0.5"
"Archer, Texas","48009","0.5"
"Mills, Texas","48333","0.5"
"Zavala, Texas","48507","0.4"
"Atascosa, Texas","48013","0.4"
"Webb, Texas","48479","0.4"
"Maverick, Texas","48323","0.4"
"Clay, Texas","48077","0.4"
"Throckmorton, Texas","48447","0.4"
"Brewster, Texas","48043","0.3"
"Jim Hogg, Texas","48247","0.3"
"Hamilton, Texas","48193","0.3"
"Kendall, Texas","48259","0.3"
"Shackelford, Texas","48417","0.2"
"Bailey, Texas","48017","0.2"
"Gillespie, Texas","48171","0.2"
"Aransas, Texas","48007","0.2"
"Dimmit, Texas","48127","0.2"
"Hansford, Texas","48195","0.2"
"Sherman, Texas","48421","0.1"
"Foard, Texas","48155","0.1"
"Sutton, Texas","48435","0.1"
"Edwards, Texas","48137","0.1"
"Sterling, Texas","48431","0.1"
"Starr, Texas","48427","0.1"
"Culberson, Texas","48109","0.1"
"Menard, Texas","48327","0.1"
"King, Texas","48269","no data/suppressed"
"McMullen, Texas","48311","no data/suppressed"
"Kinney, Texas","48271","no data/suppressed"
"Borden, Texas","48033","no data/suppressed"
"Presidio, Texas","48377","no data/suppressed"
"Dallam, Texas","48111","no data/suppressed"
"Blanco, Texas","48031","no data/suppressed"
"Kenedy, Texas","48261","no data/suppressed"
"Mason, Texas","48319","no data/suppressed"
"Loving, Texas","48301","no data/suppressed"
"Roberts, Texas","48393","no data/suppressed"
"Glasscock, Texas","48173","no data/suppressed"
"Zapata, Texas","48505","no data/suppressed"

"undefined"
