,Texas Counties,FIPS,Dollars,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
62,"Caldwell, Texas",48055,63380,2.4,69.7,5.2,0.9,11.7,0.6,54.1,45.9
63,"Cooke, Texas",48097,63338,3.8,86.3,2.8,0.8,7.6,0.8,18.7,81.3
64,"McMullen, Texas",48311,63056,3.4,83.3,no data/suppressed,no data/suppressed,5.6,0.7,64.3,35.7
65,"Parmer, Texas",48369,62885,2.2,78.1,1,0.2,24.1,0.5,64.7,35.3
66,"Llano, Texas",48299,62839,4.2,90.2,0.6,0.4,4.2,0.9,11.3,88.7
67,"Reagan, Texas",48383,62829,6.4,50.9,2.5,1.8,14.3,no data/suppressed,69.4,30.6
68,"Roberts, Texas",48393,62717,no data/suppressed,95.9,no data/suppressed,no data/suppressed,1.7,0.3,13.8,86.2
69,"Smith, Texas",48423,62518,4.9,74.2,17,1.8,9.3,0.4,20.1,79.9
70,"Stonewall, Texas",48433,62273,2.1,92,1,no data/suppressed,1.3,2.7,25.3,74.7
71,"Kerr, Texas",48265,62204,3.7,80.4,1.4,0.8,6.8,0.4,27.9,72.1
72,"Bexar, Texas",48029,62169,5.6,64,7.6,3.1,13.1,0.7,60.9,39.1
73,"Grayson, Texas",48181,62078,3.9,82.4,5.6,1.6,6.6,0.7,14.2,85.8
74,"Tom Green, Texas",48451,62052,3.7,77,4,1.5,5.4,0.5,41.2,58.8
75,"Calhoun, Texas",48057,61887,4.1,74.8,2.6,4.5,12.6,0.3,49.8,50.2
76,"Sutton, Texas",48435,61538,4.1,53.6,0.1,0.1,13.1,0.7,70.2,29.8
77,"Franklin, Texas",48159,61391,6.6,83.3,4.8,no data/suppressed,6.8,0.1,15.3,84.7
78,"Hartley, Texas",48205,61196,0.8,80.6,7.8,0.5,8.4,0.4,27.6,72.4
79,"Van Zandt, Texas",48467,61121,3.7,91.6,2.9,0.4,3.5,0.7,11.8,88.2
80,"Schleicher, Texas",48413,61094,16.4,62.8,1.2,0.5,8,no data/suppressed,54.3,45.7
81,"Dallam, Texas",48111,61069,2.5,79.1,no data/suppressed,no data/suppressed,28.2,0.5,47.1,52.9
82,"Hunt, Texas",48231,61053,5.4,77.7,7.4,1.2,6.9,0.8,17.9,82.1
83,"La Salle, Texas",48283,61042,1.5,65.2,2.1,0.1,5.8,no data/suppressed,84.8,15.2
84,"Jackson, Texas",48239,60807,4.3,81.2,7.5,0.7,6.9,0.1,33.7,66.3
85,"Lee, Texas",48287,60750,2.8,79.6,11.1,1.2,9.1,0.1,24.4,75.6
86,"Victoria, Texas",48469,60598,4.6,75.3,5.8,1.3,6.5,0.6,48,52
87,"Rusk, Texas",48401,60330,6.1,73.1,16.4,0.6,7.1,0.1,17.6,82.4
88,"Howard, Texas",48227,60260,5.4,76.8,5.5,0.9,10.5,0.8,44,56
89,"Madison, Texas",48313,59923,7.3,71.3,16.1,1.3,10.4,0.3,24.1,75.9
90,"Palo Pinto, Texas",48363,59796,6.9,87.9,2.5,1,5.9,1.1,20.3,79.7
91,"Fannin, Texas",48147,59686,4.8,86.2,5.9,0.5,4.7,0.7,12.1,87.9
92,"San Patricio, Texas",48409,59532,4.3,80.9,2,1.2,4.8,0.1,58.5,41.5
93,"Nueces, Texas",48355,59477,6,72.3,3.6,2.2,8.9,0.3,64.6,35.4
94,"Bosque, Texas",48035,59328,3.8,87.2,1.8,0.7,6.4,0.4,19.3,80.7
95,"Motley, Texas",48345,59286,3.6,85.8,1.2,no data/suppressed,0.6,no data/suppressed,13.4,86.6
96,"Montague, Texas",48337,59127,7,92.4,0.7,no data/suppressed,3.6,0.4,11.4,88.6
97,"Grimes, Texas",48185,59086,4.9,70.8,14.7,0.4,6.5,0.3,24.5,75.5
98,"Kinney, Texas",48271,58925,1.5,94.1,no data/suppressed,no data/suppressed,12.7,0.1,65.7,34.3
99,"Delta, Texas",48119,58705,4.2,83.6,8.5,0.3,0.8,no data/suppressed,8.9,91.1
100,"Frio, Texas",48163,58456,5.1,72.2,4.1,1.1,18.3,0.2,79.8,20.2
101,"Wood, Texas",48499,58418,4.6,86.6,4.7,0.7,4.1,0.2,10.5,89.5
102,"Coryell, Texas",48099,58414,6.1,67.3,14.2,2.8,5.8,0.8,19.3,80.7
103,"Upton, Texas",48461,58333,5.2,42.7,3.8,0.5,9.2,0.5,56.3,43.7
104,"Harrison, Texas",48203,57996,6.6,69.4,20,0.8,4.9,0.3,13.7,86.3
