,Area,County,New Case Rate,Case Count,Population,Death Rate,Death Count
0,Texas,Kenedy County,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
1,Texas,King County,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
119,Texas,Nolan County,452.2,432,74507,201.8,201
120,Texas,Red River County,439.9,443,60573,169.1,183
121,Texas,Rains County,439,445,60005,155.9,158
122,Texas,Morris County,494.6,448,61785,194.2,187
123,Texas,Robertson County,386.2,460,85469,185.5,223
124,Texas,Falls County,413.8,481,86403,171.5,204
125,Texas,Jones County,413,487,99372,165.3,193
126,Texas,Gonzales County,404.5,515,104142,165.9,220
127,Texas,Hockley County,416.3,529,114930,158,201
128,Texas,Lee County,455.8,535,85870,180.8,217
129,Texas,Gray County,411.5,550,110315,149.9,209
130,Texas,Trinity County,451.8,555,73445,205,277
131,Texas,Calhoun County,409.4,564,107348,166.6,240
132,Texas,Eastland County,415.6,566,91444,163.6,233
133,Texas,Young County,459.6,572,89805,192,254
134,Texas,Leon County,410.1,579,86627,173.4,258
135,Texas,DeWitt County,423,593,101083,195.4,293
136,Texas,Burleson County,442.7,597,91185,157.7,227
137,Texas,Freestone County,441.2,609,98722,172.3,247
138,Texas,Hutchinson County,465.4,615,105523,173.2,230
139,Texas,Bosque County,430.2,644,92139,184.3,293
140,Texas,Colorado County,413.7,649,106786,152.3,255
141,Texas,Lavaca County,422.3,653,100359,156.6,267
142,Texas,Shelby County,401.5,653,126313,181,302
143,Texas,Limestone County,418.7,659,116822,167.6,266
144,Texas,Uvalde County,433.4,663,134496,175.2,290
145,Texas,Tyler County,416.2,669,107621,148,255
146,Texas,Kleberg County,459,678,153623,186.8,279
147,Texas,Bee County,420.3,692,163046,162.5,264
148,Texas,Montague County,468.4,692,98201,180.3,283
149,Texas,Hale County,402.3,709,167316,162.3,288
150,Texas,Titus County,396,711,163544,160.1,281
151,Texas,Lampasas County,486.6,722,105761,173.6,265
152,Texas,Panola County,454.7,723,115931,184,305
153,Texas,Houston County,421.8,734,114710,159.2,296
154,Texas,Bandera County,365.8,748,113848,144.3,309
155,Texas,Howard County,394.9,772,181065,150.4,290
156,Texas,Fayette County,383.6,798,126236,122.9,290
157,Texas,Milam County,458.6,816,123984,160.2,301
158,Texas,Austin County,397.2,826,149458,147.5,314
159,Texas,Llano County,376.7,836,107258,147.5,364
160,Texas,Grimes County,442,839,142237,167.3,324
161,Texas,Erath County,388.7,870,211130,141.1,316
162,Texas,Jim Wells County,408.1,934,203982,160.2,375
163,Texas,San Jacinto County,431.1,936,142868,155.4,347
164,Texas,Palo Pinto County,475.2,941,143962,172.8,362
165,Texas,Caldwell County,409.9,1002,214084,166.3,401
166,Texas,Aransas County,476.4,1025,121098,183.1,410
167,Texas,Val Verde County,410.9,1026,245089,146.9,385
168,Texas,Gillespie County,437.5,1032,133338,131.5,367
169,Texas,Matagorda County,449.9,1032,183954,189.8,446
170,Texas,Chambers County,493.2,1034,212853,167,327
171,Texas,Cass County,469.3,1046,150012,174.7,424
